			RESEAUX 1	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	(mm)	(RMS)	(°C)	(RMS)	R_1	R_2	R_3	R_4	
NUMBER	Date 	time 		D_H7DC-032	E_D_H7DC-032	T_H7DC-032	E_T_H7DC-032	D_H7DC-033	E_D_H7DC-033	T_H7DC-033	E_T_H7DC-033	D_H7DC-034	E_D_H7DC-034	T_H7DC-034	E_T_H7DC-034	D_H7DC-035	E_D_H7DC-035	T_H7DC-035	E_T_H7DC-035	D_H7DC-036	E_D_H7DC-036	T_H7DC-036	E_T_H7DC-036	D_H7DC-037	E_D_H7DC-037	T_H7DC-037	E_T_H7DC-037	D_H7DC-038	E_D_H7DC-038	T_H7DC-038	E_T_H7DC-038	D_H7DC-039	E_D_H7DC-039	T_H7DC-039	E_T_H7DC-039	D_H7DC-040	E_D_H7DC-040	T_H7DC-040	E_T_H7DC-040	D_H7DC-041	E_D_H7DC-041	T_H7DC-041	E_T_H7DC-041	D_H7DC-042	E_D_H7DC-042	T_H7DC-042	E_T_H7DC-042	D_H7DC-043	E_D_H7DC-043	T_H7DC-043	E_T_H7DC-043	D_H7DC-044	E_D_H7DC-044	T_H7DC-044	E_T_H7DC-044	D_H7DC-045	E_D_H7DC-045	T_H7DC-045	E_T_H7DC-045	D_H7DC-046	E_D_H7DC-046	T_H7DC-046	E_T_H7DC-046	D_H7DC-047	E_D_H7DC-047	T_H7DC-047	E_T_H7DC-047	D_H7DC-048	E_D_H7DC-048	T_H7DC-048	E_T_H7DC-048	D_H7DC-049	E_D_H7DC-049	T_H7DC-049	E_T_H7DC-049	D_H7DC-050	E_D_H7DC-050	T_H7DC-050	E_T_H7DC-050	D_H7DC-051	E_D_H7DC-051	T_H7DC-051	E_T_H7DC-051	D_H7DC-052	E_D_H7DC-052	T_H7DC-052	E_T_H7DC-052	D_H7DC-053	E_D_H7DC-053	T_H7DC-053	E_T_H7DC-053	D_H7DC-054	E_D_H7DC-054	T_H7DC-054	E_T_H7DC-054	D_H7DC-055	E_D_H7DC-055	T_H7DC-055	E_T_H7DC-055	D_H7DC-056	E_D_H7DC-056	T_H7DC-056	E_T_H7DC-056	D_H7DC-057	E_D_H7DC-057	T_H7DC-057	E_T_H7DC-057	D_H7DC-058	E_D_H7DC-058	T_H7DC-058	E_T_H7DC-058	D_H7DC-059	E_D_H7DC-059	T_H7DC-059	E_T_H7DC-059	D_H7DC-060	E_D_H7DC-060	T_H7DC-060	E_T_H7DC-060	D_H7DC-061	E_D_H7DC-061	T_H7DC-061	E_T_H7DC-061	R_1_NbPt	R_2_NbPt	R_3_NbPt	R_4_NbPt	
10	20/12/2012	11:34:47		-5.317e-002	2.965e-005	6.71e-003	1.59e-004	-5.385e-002	4.445e-005	2.07e-003	1.43e-004	-5.393e-002	4.202e-005	7.29e-004	2.1e-004	-5.415e-002	3.18e-005	5.62e-003	1.56e-004	-5.377e-002	3.142e-005	3.34e-003	1.93e-004	-5.401e-002	3.586e-005	8.17e-005	1.59e-004	-5.403e-002	3.823e-005	1.46e-004	1.87e-004	-5.416e-002	1.159e-005	-4.9e-004	3.64e-005	-5.399e-002	1.626e-005	1.29e-002	8.85e-005	-5.195e-002	7.268e-006	1.91e-002	2.51e-004	-5.428e-002	1.215e-005	1.37e-003	1.75e-004	-5.442e-002	1.311e-005	4.87e-004	1.54e-004	-5.408e-002	9.654e-006	9.02e-003	1.34e-004	-5.426e-002	1.67e-005	1.43e-003	2.93e-005	-5.43e-002	6.858e-006	3.01e-003	3.82e-005	-5.445e-002	1.097e-005	1.19e-003	1.12e-004	-5.341e-002	2.894e-005	3.45e-003	3.51e-004	-3.936e-002	1.368e-005	-0.4	2e-004	-5.397e-002	4.235e-005	3.78e-004	1.74e-004	-5.426e-002	4.081e-005	2.91e-003	3.6e-004	-5.376e-002	3.905e-005	1.34e-003	3.23e-004	-5.404e-002	7.823e-005	7.15e-005	2.46e-004	-5.407e-002	4.145e-005	1.02e-004	2.34e-004	-5.43e-002	2.11e-005	-1.08e-003	1.5e-004	-5.397e-002	3.326e-005	-1.81e-004	1.17e-004	-5.404e-002	3.3e-005	-2.86e-004	8.35e-006	-5.402e-002	1.338e-005	-1.02e-004	5.01e-005	-5.394e-002	2.866e-005	1.52e-003	1.38e-004	-5.342e-002	3.119e-005	4.22e-003	1.22e-004	-3.892e-002	1.089e-005	-0.4	1e-004	3	3	3	3	
11	20/12/2012	11:35:48		-5.328e-002	8.479e-005	6.31e-003	2.56e-004	-5.386e-002	4.916e-005	1.77e-003	3.14e-004	-5.398e-002	3.953e-005	4.97e-004	2.14e-004	-5.418e-002	1.968e-005	5.27e-003	1.41e-004	-5.385e-002	4.309e-006	3.13e-003	5.47e-005	-5.405e-002	2.602e-005	7.83e-005	6.04e-005	-5.407e-002	2.08e-005	2.38e-005	7.75e-005	-5.42e-002	2.491e-005	-7.02e-004	1.19e-004	-5.402e-002	2.997e-005	1.28e-002	1.63e-004	-5.2e-002	1.723e-005	1.89e-002	9.95e-005	-5.431e-002	2.068e-005	1.17e-003	2.25e-004	-5.445e-002	2.842e-005	2.79e-004	1.22e-004	-5.412e-002	2.205e-005	8.73e-003	6.79e-005	-5.431e-002	2.252e-005	1.12e-003	9.62e-005	-5.435e-002	2.875e-005	2.74e-003	2.55e-005	-5.449e-002	1.198e-005	1.e-003	2.1e-004	-5.343e-002	2.374e-005	3.65e-003	1.25e-004	-3.934e-002	1.213e-005	-0.4	1e-004	-5.392e-002	5.274e-005	7.63e-004	2.53e-004	-5.419e-002	5.066e-005	3.19e-003	4.18e-004	-5.371e-002	5.644e-005	1.45e-003	2.71e-004	-5.4e-002	5.657e-005	3.99e-004	1.97e-004	-5.4e-002	3.128e-005	2.35e-004	2.79e-004	-5.426e-002	5.013e-005	-9.47e-004	2.6e-004	-5.398e-002	5.91e-006	-3.58e-004	8.22e-005	-5.405e-002	3.59e-005	-3.68e-004	1.02e-004	-5.404e-002	2.438e-005	-1.19e-004	1.47e-004	-5.397e-002	4.299e-005	1.44e-003	1.4e-004	-5.346e-002	4.626e-005	4.15e-003	2.27e-004	-3.893e-002	8.731e-006	-0.4	2e-004	3	3	3	3	
12	20/12/2012	11:36:48		-5.326e-002	5.72e-005	6.52e-003	2.e-004	-5.385e-002	2.452e-005	1.89e-003	2.78e-004	-5.394e-002	1.249e-005	5.82e-004	5.21e-005	-5.416e-002	9.018e-006	5.35e-003	7.1e-005	-5.381e-002	2.063e-005	3.23e-003	1.79e-004	-5.4e-002	3.965e-005	2.79e-004	1.85e-004	-5.403e-002	5.693e-006	2.45e-004	2.3e-004	-5.417e-002	1.503e-005	-5.21e-004	5.21e-005	-5.399e-002	1.614e-005	1.3e-002	1.93e-005	-5.201e-002	2.502e-005	1.9e-002	1.09e-004	-5.427e-002	8.207e-006	1.27e-003	1.27e-004	-5.44e-002	2.257e-005	3.54e-004	5.92e-005	-5.409e-002	9.715e-006	8.83e-003	9.6e-005	-5.427e-002	1.e-005	1.27e-003	1.28e-004	-5.433e-002	1.423e-005	2.81e-003	7.51e-005	-5.447e-002	1.405e-005	1.04e-003	6.62e-005	-5.341e-002	2.132e-005	3.54e-003	1.39e-004	-3.934e-002	2.254e-005	-0.4	3e-004	-5.391e-002	4.117e-005	7.46e-004	2.02e-004	-5.417e-002	7.249e-005	3.23e-003	4.22e-004	-5.374e-002	5.943e-005	1.45e-003	2.09e-004	-5.399e-002	6.684e-005	4.73e-004	3.28e-004	-5.397e-002	5.271e-005	2.21e-004	3.08e-004	-5.429e-002	1.769e-005	-8.41e-004	2.98e-004	-5.396e-002	1.323e-005	-2.9e-004	9.75e-005	-5.405e-002	4.425e-005	-3.31e-004	9.75e-005	-5.404e-002	3.681e-005	-1.5e-004	1.43e-004	-5.396e-002	2.727e-005	1.63e-003	1.51e-004	-5.346e-002	2.825e-005	4.01e-003	2.64e-004	-3.893e-002	2.445e-005	-0.4	2e-004	3	3	3	3	
13	20/12/2012	11:37:48		-5.327e-002	7.044e-005	6.44e-003	1.9e-004	-5.385e-002	4.979e-005	1.89e-003	2.05e-004	-5.396e-002	3.155e-005	5.55e-004	2.92e-004	-5.415e-002	2.703e-005	5.22e-003	1.07e-004	-5.381e-002	7.523e-006	3.29e-003	7.1e-005	-5.403e-002	1.748e-005	3.17e-004	1.08e-004	-5.402e-002	1.673e-005	1.5e-004	5.36e-005	-5.417e-002	3.926e-006	-5.08e-004	1.67e-004	-5.396e-002	2.777e-005	1.3e-002	6.37e-005	-5.202e-002	1.502e-005	1.89e-002	1.73e-004	-5.427e-002	3.29e-005	1.43e-003	2.65e-004	-5.443e-002	2.105e-005	4.8e-004	8.22e-005	-5.409e-002	2.461e-005	8.79e-003	1.72e-004	-5.427e-002	1.253e-005	1.44e-003	2.77e-004	-5.432e-002	9.531e-006	2.83e-003	1.17e-004	-5.446e-002	1.566e-005	1.12e-003	1.44e-004	-5.341e-002	5.495e-005	3.4e-003	3.84e-004	-3.935e-002	3.209e-005	-0.4	3e-004	-5.393e-002	7.052e-005	5.48e-004	3.e-004	-5.421e-002	6.341e-005	2.94e-003	4.26e-004	-5.373e-002	5.328e-005	1.28e-003	3.3e-004	-5.405e-002	7.173e-005	2.76e-004	3.21e-004	-5.403e-002	6.31e-005	-2.38e-005	3.32e-004	-5.43e-002	6.142e-005	-9.54e-004	1.63e-004	-5.397e-002	2.774e-005	-2.86e-004	1.51e-004	-5.404e-002	2.804e-005	-2.28e-004	6.32e-005	-5.402e-002	3.184e-005	-6.48e-005	5.56e-005	-5.395e-002	2.269e-005	1.65e-003	1.29e-004	-5.344e-002	1.763e-005	4.14e-003	2.4e-004	-3.892e-002	1.784e-005	-0.4	2e-004	3	3	3	3	
14	20/12/2012	11:38:48		-5.324e-002	5.952e-005	6.6e-003	2.35e-004	-5.383e-002	2.108e-005	1.84e-003	2.97e-004	-5.394e-002	4.171e-005	7.63e-004	1.75e-004	-5.414e-002	3.988e-005	5.14e-003	3.3e-004	-5.376e-002	4.395e-005	3.1e-003	2.99e-004	-5.401e-002	3.73e-005	2.66e-004	1.53e-004	-5.402e-002	2.153e-005	7.83e-005	1.27e-005	-5.415e-002	1.377e-005	-4.7e-004	1.43e-004	-5.397e-002	2.622e-005	1.3e-002	2.3e-004	-5.203e-002	2.632e-005	1.87e-002	1.81e-004	-5.426e-002	2.856e-005	1.18e-003	1.62e-004	-5.442e-002	4.334e-005	4.36e-004	1.85e-004	-5.409e-002	2.68e-005	8.79e-003	1.24e-004	-5.428e-002	4.548e-005	1.25e-003	1.96e-004	-5.433e-002	2.904e-005	2.61e-003	4.12e-005	-5.445e-002	2.93e-005	1.06e-003	8.76e-005	-5.345e-002	6.68e-005	3.34e-003	3.64e-004	-3.935e-002	1.882e-005	-0.4	5e-004	-5.395e-002	8.426e-005	7.02e-004	3.19e-004	-5.42e-002	6.756e-005	2.89e-003	4.13e-004	-5.375e-002	2.508e-005	1.27e-003	3.05e-004	-5.404e-002	3.403e-005	3.95e-004	2.96e-004	-5.401e-002	6.257e-005	3.07e-005	2.56e-004	-5.43e-002	3.942e-005	-1.e-003	3.64e-005	-5.397e-002	2.747e-005	-1.94e-004	5.78e-005	-5.406e-002	4.462e-005	-1.94e-004	1.48e-004	-5.406e-002	4.423e-005	1.02e-005	2.89e-005	-5.394e-002	1.087e-005	1.58e-003	4.12e-005	-5.346e-002	1.301e-005	4.06e-003	1.49e-004	-3.894e-002	2.001e-006	-0.4	1e-005	3	3	3	3	
15	20/12/2012	11:39:48		-5.321e-002	4.439e-005	6.43e-003	6.02e-005	-5.385e-002	3.271e-005	1.83e-003	9.49e-005	-5.395e-002	8.727e-006	5.65e-004	1.12e-004	-5.416e-002	1.266e-005	4.83e-003	1.09e-004	-5.379e-002	1.862e-005	2.83e-003	2.87e-004	-5.403e-002	7.436e-006	1.23e-004	1.67e-004	-5.405e-002	1.438e-005	1.81e-004	7.48e-005	-5.417e-002	2.202e-005	-5.99e-004	7.48e-005	-5.397e-002	8.222e-006	1.29e-002	8.1e-005	-5.206e-002	1.636e-005	1.86e-002	1.39e-004	-5.426e-002	7.562e-006	1.32e-003	6.83e-005	-5.442e-002	8.411e-006	4.7e-004	1.47e-004	-5.41e-002	1.091e-005	8.69e-003	7.13e-005	-5.43e-002	3.759e-005	1.32e-003	1.09e-004	-5.435e-002	1.515e-005	2.7e-003	1.24e-004	-5.446e-002	3.039e-005	9.33e-004	1.79e-004	-5.346e-002	6.256e-005	3.45e-003	3.8e-004	-3.935e-002	1.646e-005	-0.4	4e-004	-5.399e-002	2.881e-005	3.17e-004	2.16e-004	-5.424e-002	1.537e-005	2.84e-003	2.e-004	-5.38e-002	3.247e-005	1.14e-003	1.3e-004	-5.407e-002	5.446e-005	2.69e-004	2.28e-004	-5.404e-002	4.848e-005	-1.09e-004	1.5e-004	-5.431e-002	2.73e-005	-1.05e-003	2.53e-004	-5.399e-002	3.239e-005	-1.5e-004	1.18e-004	-5.402e-002	1.977e-005	-2.04e-004	5.01e-005	-5.403e-002	2.698e-005	6.13e-005	5.21e-005	-5.396e-002	1.732e-005	1.76e-003	6.38e-005	-5.344e-002	1.296e-005	4.24e-003	7.58e-005	-3.892e-002	2.434e-006	-0.4	2e-004	3	3	3	3	
16	20/12/2012	11:40:48		-5.325e-002	6.291e-005	6.27e-003	2.79e-004	-5.381e-002	3.648e-005	1.79e-003	2.8e-004	-5.392e-002	2.542e-005	5.82e-004	1.07e-004	-5.415e-002	3.292e-005	4.84e-003	1.79e-004	-5.376e-002	2.965e-005	3.21e-003	8.52e-005	-5.401e-002	3.008e-005	3.07e-004	1.67e-004	-5.403e-002	9.822e-006	9.2e-005	1.62e-004	-5.416e-002	1.817e-005	-3.64e-004	9.78e-005	-5.398e-002	2.607e-005	1.3e-002	9.19e-005	-5.208e-002	4.629e-005	1.84e-002	6.15e-005	-5.431e-002	8.839e-006	1.23e-003	2.22e-004	-5.444e-002	1.886e-005	3.85e-004	1.81e-004	-5.411e-002	1.191e-005	8.45e-003	8.02e-005	-5.432e-002	2.268e-005	1.23e-003	1.86e-004	-5.435e-002	1.252e-005	2.61e-003	9.63e-006	-5.446e-002	1.359e-005	8.96e-004	1.03e-004	-5.349e-002	6.289e-005	3.14e-003	5.2e-004	-3.937e-002	3.953e-005	-0.4	5e-004	-5.397e-002	9.799e-005	6.23e-004	4.83e-004	-5.42e-002	9.773e-005	3.06e-003	3.87e-004	-5.374e-002	6.681e-005	1.45e-003	4.84e-004	-5.403e-002	7.831e-005	2.28e-004	3.46e-004	-5.402e-002	6.008e-005	1.29e-004	2.38e-004	-5.428e-002	4.287e-005	-1.08e-003	3.81e-004	-5.399e-002	2.807e-005	-3.31e-004	2.39e-004	-5.404e-002	3.255e-005	-3.24e-004	2.86e-004	-5.405e-002	3.064e-005	-1.64e-004	2.39e-004	-5.395e-002	3.096e-005	1.56e-003	2.23e-004	-5.347e-002	3.455e-005	3.95e-003	2.4e-004	-3.894e-002	5.848e-006	-0.4	2e-004	3	3	3	3	
17	20/12/2012	11:41:48		-5.33e-002	2.269e-005	6.17e-003	8.71e-005	-5.383e-002	8.803e-005	1.52e-003	3.05e-004	-5.4e-002	2.388e-005	3.17e-004	2.05e-004	-5.418e-002	3.918e-005	4.54e-003	1.23e-004	-5.382e-002	4.074e-005	2.84e-003	1.95e-004	-5.402e-002	1.006e-005	1.29e-004	3.94e-005	-5.407e-002	1.957e-005	4.43e-005	4.2e-005	-5.419e-002	1.357e-005	-7.15e-004	5.01e-005	-5.395e-002	2.976e-005	1.3e-002	7.1e-005	-5.207e-002	1.964e-005	1.85e-002	2.41e-005	-5.425e-002	4.033e-006	1.43e-003	5.47e-005	-5.441e-002	3.781e-005	5.59e-004	3.94e-005	-5.409e-002	1.497e-005	8.82e-003	1.18e-004	-5.425e-002	3.42e-005	1.35e-003	1.03e-004	-5.432e-002	1.773e-005	2.76e-003	5.56e-005	-5.445e-002	1.995e-005	1.16e-003	4.17e-005	-5.343e-002	5.184e-005	3.53e-003	3.43e-004	-3.933e-002	3.694e-005	-0.4	3e-004	-5.391e-002	7.893e-005	7.08e-004	1.5e-004	-5.421e-002	4.961e-005	3.01e-003	3.1e-004	-5.372e-002	3.184e-005	1.48e-003	1.56e-004	-5.398e-002	3.753e-005	4.16e-004	2.27e-004	-5.396e-002	3.608e-005	4.16e-004	5.1e-005	-5.425e-002	2.887e-005	-8.04e-004	2.28e-004	-5.398e-002	3.068e-005	-1.06e-004	7.93e-005	-5.402e-002	3.144e-005	-2.79e-004	1.48e-004	-5.402e-002	6.333e-005	-1.7e-005	1.77e-004	-5.393e-002	5.155e-005	1.77e-003	1.76e-004	-5.344e-002	1.146e-005	4.22e-003	1.41e-004	-3.894e-002	2.254e-005	-0.4	2e-004	3	3	3	3	
18	20/12/2012	11:42:48		-5.331e-002	2.958e-005	6.14e-003	4.6e-005	-5.385e-002	5.562e-005	1.8e-003	3.11e-004	-5.396e-002	4.985e-005	5.99e-004	2.23e-004	-5.414e-002	3.442e-005	4.5e-003	1.85e-004	-5.376e-002	3.184e-005	3.01e-003	1.73e-004	-5.398e-002	1.508e-005	2.11e-004	4.6e-005	-5.402e-002	1.722e-005	2.08e-004	9.49e-005	-5.416e-002	1.768e-005	-4.63e-004	2.1e-005	-5.396e-002	2.082e-005	1.3e-002	1.17e-004	-5.212e-002	2.71e-005	1.83e-002	1.39e-004	-5.424e-002	3.345e-005	1.3e-003	1.83e-004	-5.442e-002	3.519e-005	4.87e-004	9.67e-005	-5.408e-002	2.613e-005	8.66e-003	1.5e-004	-5.429e-002	2.145e-005	1.32e-003	2.22e-004	-5.433e-002	1.566e-005	2.79e-003	4.6e-005	-5.446e-002	1.344e-005	9.64e-004	8.23e-005	-5.348e-002	3.603e-005	2.98e-003	1.18e-004	-3.936e-002	1.792e-005	-0.4	2e-004	-5.398e-002	2.8e-005	3.13e-004	1.84e-004	-5.428e-002	3.97e-005	2.45e-003	9.15e-005	-5.379e-002	2.829e-005	1.2e-003	3.71e-004	-5.407e-002	6.39e-005	4.09e-005	3.9e-004	-5.406e-002	3.719e-005	-7.49e-005	2.42e-004	-5.433e-002	4.513e-005	-1.2e-003	3.91e-004	-5.397e-002	1.181e-005	-2.32e-004	4.6e-005	-5.404e-002	3.131e-005	-3.65e-004	1.13e-004	-5.404e-002	1.772e-005	-2.04e-005	1.18e-004	-5.397e-002	3.748e-005	1.73e-003	1.09e-004	-5.344e-002	2.015e-005	4.26e-003	2.89e-005	-3.894e-002	2.449e-005	-0.4	2e-004	3	3	3	3	
19	20/12/2012	11:43:48		-5.326e-002	6.714e-005	6.22e-003	1.93e-005	-5.384e-002	2.739e-005	2.03e-003	1.73e-004	-5.391e-002	1.579e-005	7.02e-004	1.38e-004	-5.413e-002	1.682e-005	4.96e-003	1.83e-004	-5.376e-002	3.067e-005	3.19e-003	1.6e-004	-5.4e-002	2.768e-005	2.59e-004	1.35e-004	-5.401e-002	2.818e-005	2.69e-004	7.89e-005	-5.416e-002	2.245e-005	-4.67e-004	1.19e-004	-5.392e-002	5.676e-005	1.3e-002	2.34e-004	-5.216e-002	5.355e-005	1.82e-002	3.56e-004	-5.426e-002	5.829e-005	1.27e-003	2.64e-004	-5.442e-002	4.569e-005	3.92e-004	3.64e-004	-5.41e-002	2.529e-005	8.53e-003	2.6e-004	-5.428e-002	5.289e-005	1.18e-003	2.34e-004	-5.434e-002	4.697e-005	2.79e-003	2.75e-004	-5.443e-002	4.14e-005	9.5e-004	3.18e-004	-5.342e-002	3.064e-005	3.51e-003	1.5e-004	-3.935e-002	2.27e-005	-0.4	1e-004	-5.39e-002	3.334e-005	7.56e-004	3.63e-004	-5.418e-002	4.638e-005	2.88e-003	2.46e-004	-5.372e-002	1.067e-004	1.65e-003	2.12e-004	-5.394e-002	3.067e-005	5.01e-004	1.75e-004	-5.395e-002	3.651e-005	2.69e-004	2.57e-004	-5.424e-002	1.051e-005	-6.81e-004	1.17e-004	-5.401e-002	1.923e-005	-4.12e-004	2.1e-004	-5.409e-002	3.943e-005	-4.77e-004	1.36e-004	-5.409e-002	2.397e-005	-2.69e-004	3.21e-004	-5.397e-002	3.475e-005	1.54e-003	1.23e-004	-5.348e-002	1.941e-005	3.88e-003	2.1e-004	-3.895e-002	9.539e-006	-0.4	1e-004	3	3	3	3	
20	20/12/2012	11:45:13		-5.326e-002	4.186e-005	6.38e-003	1.92e-004	-5.381e-002	1.526e-005	1.82e-003	2.94e-004	-5.392e-002	6.509e-005	6.78e-004	2.21e-004	-5.413e-002	3.08e-005	4.66e-003	8.52e-005	-5.377e-002	1.75e-005	3.15e-003	5.55e-005	-5.4e-002	2.042e-005	3.81e-004	8.92e-005	-5.401e-002	1.112e-005	8.86e-005	8.4e-005	-5.415e-002	1.125e-005	-4.97e-004	1.51e-004	-5.394e-002	1.435e-005	1.31e-002	9.19e-005	-5.213e-002	1.662e-005	1.79e-002	2.38e-004	-5.426e-002	1.58e-005	1.27e-003	2.55e-004	-5.439e-002	1.852e-005	6.2e-004	1.13e-004	-5.411e-002	3.081e-005	8.44e-003	7.19e-005	-5.426e-002	2.539e-005	1.16e-003	1.9e-004	-5.434e-002	2.362e-005	2.66e-003	1.42e-004	-5.446e-002	5.536e-006	1.15e-003	2.18e-004	-5.344e-002	4.716e-006	2.98e-003	1.28e-004	-3.936e-002	9.129e-006	-0.4	1e-004	-5.392e-002	1.588e-005	5.77e-004	1.58e-004	-5.425e-002	2.358e-006	2.56e-003	2.25e-004	-5.378e-002	6.085e-005	1.29e-003	1.79e-004	-5.404e-002	1.015e-005	3.01e-004	2.55e-005	-5.403e-002	2.66e-005	1.07e-004	5.11e-006	-5.43e-002	1.444e-005	-1.09e-003	3.58e-005	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	e+000	e+000	3	3	2	0	
21	20/12/2012	11:46:52		-5.326e-002	2.289e-006	6.53e-003	7.66e-005	-5.386e-002	1.956e-005	2.04e-003	3.58e-005	-5.391e-002	1.539e-005	5.82e-004	1.02e-005	-5.412e-002	1.551e-005	4.78e-003	5.11e-005	-5.377e-002	1.414e-005	3.05e-003	6.13e-005	-5.4e-002	1.353e-005	1.94e-004	7.15e-005	-5.403e-002	1.228e-005	6.13e-005	2.73e-011	-5.415e-002	1.214e-005	-5.26e-004	4.6e-005	-5.382e-002	4.047e-005	1.27e-002	1.74e-004	-5.231e-002	6.703e-005	1.57e-002	8.18e-004	-5.42e-002	4.959e-008	1.36e-003	1.53e-005	-5.433e-002	1.095e-005	5.88e-004	9.71e-005	-5.401e-002	1.505e-005	7.95e-003	9.71e-005	-5.422e-002	6.175e-006	1.24e-003	1.02e-005	-5.427e-002	1.481e-008	2.76e-003	5.1e-006	-5.439e-002	1.302e-006	1.09e-003	2.35e-004	-1.$	-1.$	-1	-1	-1.$	-1.$	e+000	e+000	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	e+000	e+000	2	2	0	0	
22	20/12/2012	11:48:43		-5.33e-002	1.277e-005	6.25e-003	1.69e-004	-5.382e-002	5.457e-005	1.77e-003	1.02e-004	-5.394e-002	3.854e-005	8.38e-004	1.12e-004	-5.416e-002	1.959e-005	4.81e-003	3.68e-004	-5.376e-002	8.071e-008	3.31e-003	2.55e-005	-5.402e-002	1.683e-005	2.66e-004	1.43e-004	-5.402e-002	2.151e-005	5.62e-005	5.11e-006	-5.417e-002	1.868e-005	-5.21e-004	8.17e-005	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	e+000	e+000	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	e+000	e+000	2	0	0	0	
23	20/12/2012	11:50:40		-5.324e-002	1.068e-005	6.26e-003	1.84e-004	-5.388e-002	2.671e-005	1.61e-003	2.91e-004	-5.395e-002	2.762e-005	4.96e-004	5.11e-006	-5.42e-002	2.322e-005	4.9e-003	4.24e-004	-5.378e-002	1.687e-005	2.97e-003	1.69e-004	-5.403e-002	2.328e-005	4.09e-005	8.17e-005	-5.407e-002	6.614e-006	4.09e-005	1.74e-004	-5.421e-002	5.429e-006	-5.93e-004	2.25e-004	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	e+000	e+000	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	-1	-1	-1.$	-1.$	e+000	e+000	2	0	0	0	
