data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/08/20	00:01:21	7.47128566878	7.61674100634	7.55705331915	7.52442062052	7.48269669622	7.53912720079	7.69778835259	8.01552409775	22.8156709875	22.737922829	22.9574819873	23.0049917023	22.9892235254	22.8654210291	22.8348056189	22.8882799945	
2017/08/20	00:04:22	7.471047093	7.61665481135	7.55663453465	7.52401600409	7.48278635182	7.53907989525	7.6977126964	8.01561550409	22.8145687183	22.7401989435	22.9617431409	23.008985639	22.9910487115	22.8680741101	22.8365878595	22.8904415875	
2017/08/20	00:07:23	7.47097768616	7.61666245093	7.55681051008	7.52421701544	7.4827846692	7.53920857202	7.69813095724	8.01576815986	22.8153751404	22.7432051324	22.9635707129	23.0115289703	22.9924873877	22.8699446277	22.838336698	22.8930493372	
2017/08/20	00:10:24	7.47063803891	7.61630584699	7.55660276076	7.52429895274	7.48276684384	7.5393796118	7.69829318301	8.01604076716	22.8165370563	22.7443074017	22.9660138379	23.0136667047	22.9958609998	22.8719463678	22.8410756702	22.8950820935	
2017/08/20	00:13:25	7.47058850768	7.61628637178	7.55656528913	7.52416271261	7.48288830748	7.53942917421	7.69838631102	8.01602065419	22.8162698395	22.7461755334	22.9688959619	23.0167945728	22.9982039185	22.8744300525	22.8437430664	22.8974536426	
2017/08/20	00:16:26	7.47035795074	7.61616360126	7.55658923012	7.52409908493	7.48281209438	7.53933048254	7.69833141305	8.01603349818	22.8169354956	22.7493201025	22.9728684259	23.0192209967	22.9996974695	22.8763769177	22.8451364111	22.9004121143	
2017/08/20	00:19:27	7.47023788851	7.61627400483	7.55679630616	7.52419862504	7.48279041646	7.53947112533	7.69855291388	8.01615343592	22.8178301947	22.7513910327	22.9756861316	23.023503623	23.0015250415	22.8781710876	22.8475151178	22.9026882288	
2017/08/20	00:22:27	7.47010608712	7.61626842592	7.55637928653	7.52394842559	7.4828608615	7.53940074241	7.69841309119	8.01603252266	22.819020741	22.7548123621	22.9786994781	23.0251450977	23.0042186823	22.8798244916	22.848266665	22.9043821924	
2017/08/20	00:25:28	7.47004265169	7.61605978585	7.55628261103	7.52403631402	7.48291700792	7.53941970796	7.69881793214	8.01644226827	22.8204355585	22.7584579626	22.9819156232	23.0268462189	23.0081816028	22.8825157465	22.8508171539	22.907975304	
2017/08/20	00:28:29	7.47009141161	7.61620393728	7.55632151336	7.52410364132	7.48292598949	7.53946684388	7.69868497339	8.01624408393	22.821516355	22.7605837677	22.9841010748	23.0303725262	23.011094743	22.8849898877	22.853699278	22.911666236	
