data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/08/23	00:00:09	6.81372255279	6.83231821433	6.64486542082	6.49454056985	6.33017203994	6.26378623122	6.28774320884	6.48067793528	22.8586475604	22.68457729	22.8746590955	22.9005361792	22.9196827399	22.7874199689	22.7865109546	22.8285856708	
2017/08/23	00:00:20	6.81380330074	6.83232447547	6.64474982097	6.49454944872	6.33022949009	6.26392314009	6.28779357332	6.48083355625	22.8586356311	22.6846369366	22.8751195673	22.9010372107	22.9197734027	22.788472135	22.7866517206	22.8289817242	
2017/08/23	00:00:31	6.81373966392	6.83221696405	6.64483534016	6.49453018508	6.33031388869	6.26390442747	6.28788313838	6.48066697363	22.8581727734	22.684982887	22.8756587726	22.9009632489	22.9197805603	22.7880402936	22.7865061829	22.8285498828	
2017/08/23	00:00:42	6.81378412429	6.83235989896	6.64479541268	6.49458230637	6.33024177089	6.26381555536	6.28784990586	6.48079015592	22.8584065881	22.6855721954	22.8757494354	22.9014523511	22.9204032709	22.7880068915	22.7869022363	22.8283733289	
2017/08/23	00:00:53	6.81375896832	6.83232193897	6.64478463336	6.49448685574	6.33034382001	6.26378718857	6.28780723932	6.48074989152	22.8584495337	22.6859443903	22.8763244287	22.9016098181	22.9204772327	22.7883576135	22.7868640625	22.8282635791	
2017/08/23	00:01:04	6.81373584179	6.83229322546	6.64469712783	6.4944163635	6.33015040612	6.26385953935	6.28765411162	6.48073493886	22.8579055566	22.6858942871	22.8761908203	22.9011159442	22.9202195593	22.787980647	22.7866708075	22.8280798676	
2017/08/23	00:01:15	6.81380095571	6.83235945805	6.64487142899	6.49453254664	6.33011605799	6.26380980009	6.28779108156	6.48082589231	22.8583755719	22.6864835956	22.8767825146	22.9017911438	22.9209567914	22.7881094836	22.7868831494	22.8289578656	
2017/08/23	00:01:26	6.81384212096	6.832217456	6.64490926545	6.49457436844	6.33031039458	6.26384463971	6.28779746264	6.48077998807	22.8580701813	22.686423949	22.8774696436	22.9019032794	22.9209663348	22.7880713098	22.7873841809	22.8289173059	
2017/08/23	00:01:37	6.81365122855	6.8325422957	6.64487067723	6.4946042479	6.33024524878	6.26382930008	6.28802855876	6.48077257559	22.8580320074	22.6865503998	22.8767157104	22.9022874036	22.921033139	22.7886582324	22.7871026489	22.8289721808	
2017/08/23	00:01:48	6.81377514207	6.83225170918	6.64481253288	6.49434508943	6.33045618954	6.26388306122	6.28783008062	6.48065952447	22.8582395776	22.6864072479	22.8766465204	22.9022587732	22.9217083386	22.7884029449	22.7868473615	22.8290461426	
