data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/09/09	00:00:03	7.03381973872	7.0986249341	6.981159608	6.93974914748	6.88452860342	6.89887834077	7.03317208184	7.34786076372	23.0309069598	22.9055942114	22.9208709003	23.0047531158	23.0832742944	22.9526506122	22.9107906238	23.0662392236	
2017/09/09	00:00:09	7.03413363459	7.09876110803	6.9811454915	6.93973689986	6.88459096164	6.89887355692	7.03310976101	7.34782515668	23.0308664001	22.9058184827	22.9214745239	23.0047960614	23.0833577997	22.9523356781	22.9105663525	23.0660960718	
2017/09/09	00:00:15	7.03397109497	7.09868824691	6.9810810324	6.939734666	6.88465223844	6.89887581123	7.03326366494	7.34776882572	23.0308831012	22.905794624	22.9214291925	23.004504986	23.0833625714	22.952073233	22.9102561902	23.0663370441	
2017/09/09	00:00:21	7.03391852902	7.09870193273	6.9811845818	6.93972634708	6.88461017109	6.89895002689	7.03330507545	7.34777695864	23.030852085	22.9055083203	22.9213790894	23.0047197137	23.0839590375	22.9524645148	22.9105949829	23.0661938922	
2017/09/09	00:00:27	7.03398172643	7.0985661312	6.98119297693	6.93979479368	6.88464688055	6.89884691637	7.03307385516	7.34771856102	23.031343573	22.9061429602	22.9214697522	23.0048103766	23.0831287567	22.9524621289	22.9110745416	23.0669406677	
2017/09/09	00:00:33	7.03398865323	7.09859666704	6.98126262415	6.93964013985	6.88445699415	6.89882584213	7.03310128635	7.34778569669	23.0308878729	22.905706347	22.9213719318	23.0050513489	23.0833888159	22.9520780048	22.9109146887	23.0666281195	
2017/09/09	00:00:38	7.03400960382	7.09866267673	6.98100470621	6.93978598408	6.88462438175	6.89887276327	7.03308161848	7.34784138094	23.0310572693	22.9058566565	22.9211333453	23.0047292572	23.0836822772	22.9523094336	22.9107882379	23.066830918	
2017/09/09	00:00:44	7.03394221302	7.09863435225	6.98107991045	6.93969381791	6.88449882587	6.89889397075	7.03307029302	7.3479685334	23.0310691986	22.9060546832	22.9215150836	23.0054903479	23.0830380939	22.9529273724	22.9106069122	23.0665446143	
2017/09/09	00:00:50	7.03405854064	7.09856352603	6.98136009861	6.9397069334	6.88461887718	6.89880636116	7.03311469576	7.347822306	23.0309236609	22.9061739764	22.9217679852	23.0050966803	23.0833220117	22.9523810095	22.9106236133	23.0666853802	
2017/09/09	00:00:56	7.03384303799	7.09866957334	6.98132465493	6.93964524715	6.88456164116	6.8989397959	7.03313270223	7.34779607522	23.0310429541	22.9065771875	22.9218443329	23.0056549725	23.0837180652	22.9523046619	22.910998194	23.0669048798	
