data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/09/03	00:00:00	7.02415364163	7.09069556273	6.97364317411	6.93293403722	6.8790467582	6.89446161973	7.02946636345	7.34507238778	23.0267436267	22.9210951715	22.9496444232	23.0309499054	23.0873398071	22.9709072455	22.9367512128	23.0998536652	
2017/09/03	00:00:06	7.02417596524	7.09053063071	6.97382287581	6.93295960456	6.87904130959	6.89458595493	7.02936870088	7.34518416263	23.0267985016	22.9214172632	22.9495871625	23.0312505243	23.0872324432	22.9715442712	22.937450271	23.1001256537	
2017/09/03	00:00:12	7.02422158579	7.09069296637	6.9737700752	6.93315852225	6.87916984137	6.89468133232	7.0293710873	7.34511040664	23.0271897833	22.9215007684	22.9499354987	23.0313340295	23.0875402197	22.971372489	22.9373596082	23.1009034454	
2017/09/03	00:00:18	7.02422096588	7.09054612839	6.97367921196	6.93295265665	6.87906160169	6.89453615154	7.02942361493	7.34519541357	23.0268462189	22.9214315784	22.9498472217	23.0311956494	23.0874519427	22.9716325482	22.937168739	23.1008270978	
2017/09/03	00:00:24	7.02423152572	7.09059466691	6.97366168098	6.93305432848	6.87904524932	6.89440947094	7.02943716526	7.34507523107	23.0270036859	22.921245481	22.9498018903	23.0314867249	23.0874972742	22.9717709283	22.9372069128	23.1010967004	
2017/09/03	00:00:30	7.02413242987	7.090580353	6.97373265219	6.93296864731	6.87908129395	6.89446780708	7.02935056266	7.34507923194	23.0273591797	22.9212311658	22.9498615369	23.0311765625	23.0875783936	22.9714202063	22.9370900055	23.1011253308	
2017/09/03	00:00:35	7.0241065728	7.09061360141	6.97368646208	6.93292920677	6.87909087194	6.89436784626	7.02939899118	7.34507262915	23.0276311682	22.9214625946	22.9504699323	23.0314175348	23.0879291156	22.9722146991	22.9371067065	23.1012207654	
2017/09/03	00:00:41	7.0241178612	7.09042559961	6.97376671284	6.93296382336	6.87915050016	6.89436836055	7.02938800736	7.34513488124	23.0274665436	22.9216152899	22.9503172369	23.0313053992	23.0879195721	22.9720500745	22.9373429071	23.1014474225	
2017/09/03	00:00:47	7.02413960243	7.09061213989	6.97366375924	6.93294658572	6.8790474318	6.89440453726	7.02944157219	7.34507346297	23.0275381195	22.9216439203	22.9497327002	23.0314246924	23.0882249628	22.9716993524	22.9373190485	23.1015166125	
2017/09/03	00:00:53	7.02411594359	7.09053415127	6.97365293973	6.93293748581	6.87910958346	6.89460101523	7.02934777707	7.34519649785	23.0279270154	22.9219111371	22.9501311395	23.0316919092	23.0885422827	22.9718854498	22.9369110657	23.1015595581	
2017/09/03	00:00:59	7.0241456095	7.09055125957	6.9737991301	6.9328987874	6.87916240949	6.89445063282	7.0294738612	7.34525564232	23.0280439227	22.9216081323	22.9501860144	23.0312266656	23.0885876141	22.9719617975	22.9378272375	23.1015333136	
2017/09/03	00:01:05	7.02421628951	7.09061569445	6.97377451553	6.93291908424	6.87888934731	6.89448732113	7.02934382011	7.3451342789	23.0276574127	22.9222356146	22.9500977374	23.0314127631	23.0884468481	22.9716468634	22.9377580475	23.1016788513	
2017/09/03	00:01:11	7.02420356387	7.09072119656	6.9738126416	6.93303690963	6.87894201877	6.89433615596	7.02941563445	7.34515693827	23.027881684	22.9221306366	22.9504341443	23.0313817468	23.0882726801	22.9723316064	22.9377365747	23.101860177	
2017/09/03	00:01:17	7.02428242981	7.09070511493	6.97379930269	6.93297154147	6.87904979265	6.89440633432	7.02940350559	7.34507791568	23.0277600049	22.9221640387	22.9500380908	23.0311980353	23.0883466418	22.9720262158	22.9375433197	23.1018530194	
2017/09/03	00:01:22	7.02423086098	7.09062963679	6.97387743054	6.93294260971	6.87903871459	6.89432660976	7.02934247195	7.34513618766	23.0279675751	22.9225433911	22.9501812427	23.0320497888	23.0887069073	22.9725391766	22.9378296234	23.1017742859	
2017/09/03	00:01:28	7.02411686288	7.09074845211	6.97370301569	6.93309332564	6.87905981444	6.89455561425	7.02937215856	7.34522890741	23.0279079285	22.9224145544	22.9500619495	23.0313578882	23.0882178052	22.972532019	22.9379656177	23.1015309277	
2017/09/03	00:01:34	7.02412957129	7.09075165926	6.97374558134	6.93309206792	6.87911774307	6.89443049587	7.02936179511	7.34523795901	23.0280367651	22.9223382068	22.9503744977	23.0319352673	23.0879267297	22.9722099274	22.9380037915	23.1021297797	
2017/09/03	00:01:40	7.02417213092	7.09072527454	6.9737415607	6.93288719787	6.87897149784	6.894306584	7.02937986463	7.34528879605	23.028074939	22.9229155859	22.95029815	23.03181836	23.0885160382	22.9722767316	22.9376101239	23.1016645361	
2017/09/03	00:01:46	7.02410091629	7.09077979963	6.9737442512	6.93308290758	6.87907558179	6.89449511666	7.02935257812	7.34524851131	23.0282371777	22.9229251294	22.9505725244	23.0317778003	23.0883728864	22.9722767316	22.938223291	23.1017146393	
2017/09/03	00:01:52	7.02409066473	7.09065180994	6.97362892807	6.93290294905	6.87894855195	6.89448359426	7.02934873569	7.34522905157	23.0283516992	22.9236218018	22.9503387097	23.0317372406	23.0883824298	22.9722576447	22.9381230847	23.1016740796	
2017/09/03	00:01:58	7.02421113444	7.09062961524	6.97369836122	6.93295709558	6.87915327439	6.89462701284	7.02947466068	7.3451106522	23.0282825092	22.9234118457	22.9509876648	23.0320664899	23.0888619885	22.9719069226	22.9381803455	23.1018673346	
2017/09/03	00:02:04	7.02420776297	7.09059111957	6.9738758485	6.93303849866	6.87893295892	6.8944809633	7.02944344213	7.34511938315	23.0285377966	22.9232686938	22.9511522894	23.0321905548	23.0889097058	22.9723626227	22.9384332471	23.1017408838	
2017/09/03	00:02:09	7.02415513583	7.09060275726	6.973864626	6.93304620818	6.87910372197	6.89442841812	7.02944573591	7.34513694718	23.0289934967	22.9239892249	22.9510950287	23.0323599512	23.0891793085	22.9725105463	22.9386408173	23.102246687	
2017/09/03	00:02:15	7.02418399548	7.0905847824	6.97382037634	6.93318523646	6.87901644585	6.89446508371	7.02950487288	7.34513670907	23.0289433936	22.9239916107	22.951352702	23.0325866083	23.089274743	22.9726250677	22.9388197571	23.1024327844	
2017/09/03	00:02:21	7.02418560596	7.09090655275	6.97386078128	6.93310415627	6.87890969524	6.8946028606	7.02932684346	7.3451693397	23.0288909045	22.9243685773	22.9516151471	23.0330757104	23.0894560687	22.9731451862	22.9381397858	23.1020916058	
2017/09/03	00:02:27	7.02407478056	7.09083504905	6.97383188331	6.9331890143	6.87899551708	6.89449366878	7.02945436852	7.34515848202	23.0292607135	22.9245856909	22.9518036304	23.0330780963	23.0898473505	22.9731690448	22.9387171649	23.1020939917	
2017/09/03	00:02:33	7.02423422594	7.0906151447	6.973881312	6.93316848243	6.87884504136	6.8947149201	7.02940102073	7.34530617389	23.0293800067	22.9245904626	22.951758299	23.0332164764	23.089627851	22.9735722559	22.9390488	23.1026427405	
2017/09/03	00:02:39	7.02426579853	7.09078325155	6.97390747616	6.93316536306	6.87894688599	6.8945111455	7.02939701338	7.34523928116	23.0296066638	22.9247479297	22.9518012445	23.0335361823	23.0891793085	22.9740876025	22.9391442346	23.102738175	
2017/09/03	00:02:45	7.02428008777	7.09068586725	6.97379922007	6.93315451909	6.87894494139	6.89448401271	7.02943799145	7.34513016026	23.0296018921	22.9250485486	22.9519491681	23.0337771545	23.0899093829	22.9739182062	22.9394257666	23.1025974091	
2017/09/03	00:02:51	7.0241494878	7.09080913758	6.97378602083	6.93300558569	6.87901366185	6.8944979997	7.02941748376	7.34531835656	23.0298786523	22.9251940863	22.9522068414	23.0342686426	23.0898807526	22.9740422711	22.9393756635	23.1029385876	
2017/09/03	00:02:56	7.0241169611	7.09081638863	6.97393007891	6.93301255898	6.87894363478	6.89437274941	7.02948565564	7.34530262274	23.0303462817	22.9258358838	22.95247883	23.0337556818	23.0903078223	22.9744287811	22.9393112451	23.1031700165	
2017/09/03	00:03:02	7.02421695476	7.09070379019	6.97382500417	6.93317946312	6.87905756916	6.8946236161	7.02945623991	7.34507887033	23.0298762665	22.9256927319	22.9525623352	23.0339966541	23.0900596924	22.9742593848	22.9396452661	23.102878941	
2017/09/03	00:03:08	7.02417504011	7.09073454288	6.97363110047	6.93288375632	6.8789360792	6.89452318769	7.0295651905	7.3450559186	23.0304011566	22.9259694922	22.9528390955	23.0343807782	23.0906179846	22.9743906073	22.9396500378	23.1028455389	
2017/09/03	00:03:14	7.02412262898	7.09063757136	6.97389982536	6.93304566014	6.87902100204	6.89445059893	7.02947805857	7.34515338036	23.0301434833	22.9257643079	22.9531874316	23.0349128259	23.0904939197	22.9740112549	22.9397741028	23.1031318427	
2017/09/03	00:03:20	7.02416085783	7.09095941511	6.97384543808	6.93316389366	6.87891766253	6.89444731557	7.02939711904	7.34516685886	23.0303271948	22.9261198016	22.9533592139	23.0353208087	23.0909329187	22.9745099005	22.9399029395	23.102914729	
2017/09/03	00:03:26	7.02430982636	7.09054610223	6.97371767368	6.93306889555	6.8789699936	6.89437806312	7.02945319657	7.34520754022	23.030639743	22.9262200079	22.9536216589	23.0350798364	23.0910522119	22.9746888403	22.9400222327	23.1032582935	
2017/09/03	00:03:32	7.02411350569	7.09070908136	6.97393328713	6.93312160241	6.87902583036	6.8944562367	7.02944946131	7.34521262922	23.0302198309	22.9260458398	22.954060658	23.0354687323	23.091472124	22.9749775299	22.9403705688	23.1036471893	
2017/09/03	00:03:37	7.02428652674	7.0906434362	6.97391195331	6.93302499735	6.87899712673	6.89455385672	7.02944011751	7.3452006057	23.030534765	22.9265039258	22.9537815118	23.0354663464	23.0916820801	22.9748200629	22.9404803186	23.1038690747	
2017/09/03	00:03:43	7.02401354456	7.09071334639	6.97379985927	6.93309775708	6.87904512246	6.89460884552	7.02947732413	7.34507136861	23.0308640143	22.9266685504	22.9539079626	23.0363491162	23.0917154822	22.974975144	22.941105415	23.103881004	
2017/09/03	00:03:49	7.02413828141	7.09074798885	6.97402351901	6.9331193053	6.87905730584	6.89460899097	7.02939476869	7.34524085064	23.0306564441	22.9264919965	22.9537409521	23.0358027533	23.0912836407	22.9749632147	22.9400914227	23.1042174109	
2017/09/03	00:03:55	7.02415262092	7.09059442823	6.97404630172	6.9330747331	6.87903461732	6.89471368997	7.02949685047	7.3452012418	23.0305037488	22.926534942	22.9539151202	23.0362250513	23.0913981622	22.9752495184	22.9406544867	23.1039215637	
2017/09/03	00:04:01	7.0240624235	7.09068373378	6.97392051487	6.93309649877	6.87898651302	6.89456112034	7.02946344677	7.3452377568	23.0308616284	22.9266971808	22.9540177124	23.0366330341	23.0917035529	22.9750562634	22.9408692145	23.1044631549	
2017/09/03	00:04:07	7.02410910686	7.09079933016	6.97405796373	6.93286332307	6.87884796642	6.89463515955	7.0295451692	7.34506549416	23.0308353839	22.9263631598	22.9543087878	23.036229823	23.0918323895	22.9751922577	22.9407809375	23.1038857758	
2017/09/03	00:04:13	7.02416448292	7.09073421087	6.97401845162	6.93309253658	6.87893096738	6.89451166873	7.02958388997	7.34526805101	23.0309546771	22.926921452	22.9539771527	23.0371054352	23.0918276178	22.9755763818	22.9408286548	23.1051192676	
