data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/09/08	00:00:00	7.03171418843	7.09690994802	6.97944820193	6.93738919021	6.88224292665	6.89670629505	7.03082103553	7.34506740727	23.0233222974	22.8837444666	22.8987968842	22.9797945898	23.0601767426	22.9320200439	22.8954709894	23.0521554669	
2017/09/08	00:00:06	7.03191409387	7.09692054517	6.97933294269	6.9376241272	6.88237247773	6.89662467858	7.03088785136	7.3451112192	23.0235775848	22.8842359546	22.8990211554	22.9797945898	23.0602793347	22.9321321796	22.8958503418	23.0521960266	
2017/09/08	00:00:12	7.03175994722	7.096758488	6.97924680102	6.93751561002	6.88245616016	6.89670960569	7.03084519964	7.34500740993	23.0228045648	22.8836895917	22.8992096387	22.97961565	23.0607779803	22.9321274078	22.8956904889	23.0520695758	
2017/09/08	00:00:17	7.03183131949	7.0968381637	6.97920333778	6.93738187636	6.88239493315	6.8967752598	7.03096625057	7.34509698993	23.023188689	22.8836442603	22.8990426282	22.979598949	23.0607183337	22.9319269952	22.8953874841	23.051785658	
2017/09/08	00:00:23	7.03186756232	7.09680989541	6.97934139918	6.93742600534	6.88246623031	6.89671443031	7.0308591751	7.34496531075	23.0230670099	22.8837563959	22.8992287256	22.9794891992	23.0606706165	22.9317361261	22.8954113428	23.051258382	
2017/09/08	00:00:29	7.03177466584	7.09681574537	6.97938731279	6.93751119666	6.88233722449	6.89687291794	7.03085162666	7.34492751152	23.022871369	22.8836538037	22.898940036	22.9799067255	23.0605465515	22.9317432837	22.8949484851	23.0508265405	
2017/09/08	00:00:35	7.03175953865	7.09665017036	6.97916668466	6.93742952448	6.88245090467	6.89681462699	7.03101555466	7.34488094257	23.0232149335	22.8840784875	22.8994267523	22.9798399213	23.0610642841	22.9318220172	22.8953326093	23.051170105	
2017/09/08	00:00:41	7.03175963003	7.09667853552	6.97921198164	6.93749017325	6.88237115329	6.89682194522	7.03085142218	7.34495378675	23.0232268628	22.8838232001	22.8995078717	22.979687226	23.0604916766	22.9317408978	22.8951393542	23.0510174097	
2017/09/08	00:00:47	7.03185534023	7.09703045924	6.97917387299	6.9376448223	6.88241490339	6.89670219676	7.03091145161	7.34488957932	23.023047923	22.8839949823	22.8997011267	22.9800331763	23.0608042249	22.9316860229	22.8951870715	23.0512488385	
2017/09/08	00:00:53	7.03181738902	7.09687932492	6.97924651531	6.93739557567	6.88235709112	6.89683201455	7.03088463937	7.34486650283	23.0233175256	22.8835464398	22.8994052795	22.9795440741	23.060327052	22.9315548004	22.8953039789	23.0511367029	
2017/09/08	00:00:58	7.03176705147	7.09688479744	6.97917157459	6.93760682277	6.88225330731	6.89681395783	7.03085410199	7.3449499408	23.0228355811	22.8837683252	22.8997727026	22.9798590082	23.0600789221	22.9315953601	22.8950248328	23.0513204144	
2017/09/08	00:01:04	7.03177740777	7.09694732932	6.97927449799	6.93730756831	6.88228391112	6.89688567243	7.03090741238	7.34492746748	23.0232602649	22.8838971619	22.8996557953	22.9794247809	23.0604224866	22.9318768921	22.8949985883	23.0511009149	
2017/09/08	00:01:10	7.03180039472	7.09689005639	6.97929525693	6.93747790132	6.88240093234	6.89691995099	7.03085451098	7.34494741337	23.023293667	22.8838685315	22.8995651324	22.9793555908	23.0608972736	22.9316335339	22.8946430945	23.0512989417	
2017/09/08	00:01:16	7.03177808966	7.09692956668	6.97923432991	6.93742283419	6.88233602611	6.89669258641	7.03084285405	7.34494102447	23.022854668	22.8836156299	22.899221568	22.9792148248	23.060222074	22.9315142407	22.8946669531	23.0514850391	
2017/09/08	00:01:22	7.03178366748	7.096758924	6.97930553683	6.93751854067	6.88231730152	6.89683282628	7.03078326317	7.34497013956	23.0230264502	22.8837158362	22.8991881659	22.9790382709	23.060098009	22.9315834308	22.8945524316	23.0509291327	
2017/09/08	00:01:28	7.0317982838	7.0969311089	6.9792268318	6.93730755669	6.88236238128	6.89678894749	7.03072601507	7.34498477429	23.0226470978	22.8837563959	22.8995126434	22.9792529987	23.0600145038	22.9311611328	22.8947456866	23.0511438605	
2017/09/08	00:01:34	7.03173637706	7.09693694074	6.97918389129	6.93737039575	6.8823160515	6.89681981248	7.03064691611	7.34503074614	23.0227568475	22.8836514178	22.8997249854	22.9790764447	23.0600741504	22.9311993066	22.8947122845	23.0506905463	
2017/09/08	00:01:40	7.03188111643	7.09683214398	6.97918990974	6.93750865397	6.88235779578	6.89676598135	7.0308780105	7.34502673724	23.0224562286	22.8834438477	22.8990378564	22.9795440741	23.059465755	22.9308700574	22.8944331384	23.0503183514	
