03/09/2007	16:11:36	Start Alarme:2010
03/09/2007	16:12:46	Start Alarme:2010
03/09/2007	16:32:40	Start Alarme:2010
18/02/2008	12:01:12	Start Alarme:2010
20/12/2012	11:14:47	Start Alarme:2010
20/12/2012	11:15:10	Start Alarme:2001
20/12/2012	11:17:51	Start Alarme:2001
20/12/2012	11:17:51	Start Alarme:2010
20/12/2012	11:18:30	End Alarme:2010
20/12/2012	11:18:49	Start Alarme:2010
20/12/2012	11:19:09	End Alarme:2010
20/12/2012	11:20:26	Start Alarme:2010
20/12/2012	11:20:46	End Alarme:2010
20/12/2012	11:22:03	Start Alarme:2010
20/12/2012	11:23:21	End Alarme:2010
20/12/2012	11:24:39	Start Alarme:2010
20/12/2012	11:25:38	End Alarme:2010
20/12/2012	11:25:58	Start Alarme:2010
20/12/2012	11:26:17	End Alarme:2010
20/12/2012	11:27:15	Start Alarme:2010
20/12/2012	11:27:34	End Alarme:2010
20/12/2012	11:27:54	Start Alarme:2010
20/12/2012	11:28:13	End Alarme:2010
20/12/2012	11:30:11	Start Alarme:2010
20/12/2012	11:32:45	End Alarme:2010
20/12/2012	11:34:03	Start Alarme:2010
20/12/2012	11:35:01	End Alarme:2010
20/12/2012	11:35:59	Start Alarme:2010
20/12/2012	11:36:57	End Alarme:2010
20/12/2012	11:38:15	Start Alarme:2010
20/12/2012	11:38:34	End Alarme:2010
20/12/2012	11:38:53	Start Alarme:2010
20/12/2012	11:39:13	End Alarme:2010
20/12/2012	11:40:30	Start Alarme:2010
20/12/2012	11:41:09	End Alarme:2010
20/12/2012	11:42:27	Start Alarme:2010
20/12/2012	11:43:25	End Alarme:2010
20/12/2012	11:44:09	Start Alarme:2010
20/12/2012	11:45:34	Start Alarme:2018
20/12/2012	11:59:47	End Alarme:2010
20/12/2012	12:00:26	Start Alarme:2010
20/12/2012	12:00:58	End Alarme:0
20/12/2012	12:02:58	Start Alarme:2018
