data	hora	H7DC_36_D	H7DC_44_D	H7DC_42_D	H7DC_56_D	H7DC_45_D	H7DC_38_D	H7DC_32_D	H7DC_55_D	H7DC_36_T	H7DC_44_T	H7DC_42_T	H7DC_56_T	H7DC_45_T	H7DC_38_T	H7DC_32_T	H7DC_55_T
2017/09/01	12:03:07	7.42254099962	7.45505286752	7.56062356685	7.44319617802	7.57703971203	7.37819404113	7.64874688499	7.92664114811	24.8626041406	24.5889025647	24.6366437085	24.5999061707	24.028315127	24.6641479517	24.4915330585	24.3181785474	
2017/09/01	12:04:09	7.42307238144	7.45604399129	7.5615846209	7.44409619909	7.57764784854	7.37841189603	7.64866595187	7.92638120757	24.8656222589	24.5904724634	24.6385285413	24.6001543005	24.029209826	24.6589682404	24.4906479028	24.3203735425	
2017/09/01	12:05:11	7.42253034355	7.45541785076	7.56051320569	7.44293170094	7.57685275317	7.37778448141	7.64799217293	7.92617642867	24.8697569617	24.5938699341	24.6399433588	24.6024590454	24.0298229932	24.659555163	24.4875916107	24.3213231165	
2017/09/01	12:06:12	7.42310223803	7.45568319829	7.56103621827	7.44349717195	7.57787144897	7.37902456592	7.6484325887	7.92599493789	24.8724673035	24.5979807782	24.6430616833	24.6027453491	24.0314453809	24.6637280396	24.4910200977	24.3230051508	
2017/09/01	12:07:14	7.42172275317	7.4547301366	7.56008618044	7.44280810215	7.5769261482	7.37756892503	7.64715418685	7.92584864677	24.8765065717	24.6015309442	24.6458555304	24.6055678265	24.0325905957	24.6665791473	24.4948040784	24.3251023254	
2017/09/01	12:08:15	7.42052410263	7.45409133509	7.56092408693	7.44324994685	7.57669230201	7.37732140456	7.64731964696	7.92571808908	24.8797036298	24.6054342181	24.6489094366	24.6070995514	24.0339696252	24.6755643121	24.5143419208	24.3287097522	
2017/09/01	12:09:17	7.42157597309	7.45441127055	7.55991890035	7.44272382198	7.57670712828	7.37689351233	7.64671138393	7.92555404316	24.883091557	24.6085215265	24.6506177155	24.609268302	24.0355180511	24.6817222278	24.5228666138	24.3315799469	
2017/09/01	12:10:19	7.42130760016	7.45366525072	7.55899583565	7.44127861737	7.5753774053	7.37609688893	7.64579767057	7.92531070641	24.8868278204	24.612467746	24.6539078223	24.6124772894	24.0369996729	24.6816888257	24.5216617523	24.3348557385	
2017/09/01	12:11:20	7.4216991102	7.45378244311	7.55911697517	7.44155957059	7.57577600116	7.37614129817	7.64620725155	7.92539258807	24.8898006073	24.6160918738	24.6568877667	24.6147104584	24.0401346985	24.685181731	24.5214613397	24.3371366248	
2017/09/01	12:12:22	7.42121777766	7.4532805876	7.55837601364	7.44085603861	7.57518149367	7.37562398601	7.64554374798	7.92511443557	24.8924298297	24.6194463989	24.658464823	24.6170319043	24.0406667462	24.6827171332	24.5098970557	24.339119278	
