data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/11/01	00:00:07	10.0295150666	8.45146627215	8.36125220822	8.3692014404	8.36782500632	8.4279367497	8.59636841913	8.97028293355	21.116689892	22.8070723328	22.6868223883	22.8685703699	22.953795827	22.9090083832	22.8365926312	23.0221579956	
2017/11/01	00:00:23	10.0294764458	8.45188573501	8.36134872381	8.36922931131	8.3678652205	8.42782701066	8.59594857093	8.9697048936	21.1166087726	22.8074755438	22.687039502	22.868849516	22.9543708203	22.9086719763	22.8361655615	23.0212585248	
2017/11/01	00:00:39	10.029506713	8.45155800498	8.36161346035	8.36964271719	8.3682503336	8.42769984557	8.59617398186	8.96987686781	21.116742381	22.8081960748	22.687566778	22.869078559	22.9546523523	22.9089344214	22.8366021747	23.0214708667	
2017/11/01	00:00:54	10.0295122295	8.45186411255	8.36160743548	8.36955300133	8.36821320395	8.42783702527	8.59621638013	8.97010861419	21.1167757831	22.8079885046	22.6880439508	22.8683795007	22.9546284937	22.9091038177	22.8366594354	23.0214875677	
2017/11/01	00:01:10	10.0295104798	8.45179211647	8.3617029863	8.3693658302	8.36830273653	8.42796201777	8.59622402901	8.97012571334	21.1168044135	22.808052923	22.6881274561	22.8685870709	22.9547239282	22.9098434357	22.83643755	23.0218788495	
2017/11/01	00:01:26	10.0295083454	8.45174361481	8.36187754748	8.36957482307	8.36854636623	8.42791142758	8.59620406024	8.97007793319	21.116618316	22.8075685925	22.6881680157	22.8685441254	22.9554182147	22.9096287079	22.8364971967	23.0218883929	
2017/11/01	00:01:42	10.0294908491	8.45149618184	8.36156061225	8.36930252965	8.36821262572	8.42821654814	8.59679908882	8.9705100018	21.1159836761	22.8075399622	22.6886094006	22.8686180872	22.9555208069	22.9094760126	22.8362514526	23.0218883929	
2017/11/01	00:01:58	10.0294590424	8.45191318578	8.36160814832	8.36969882297	8.36836374738	8.4281113242	8.59662047723	8.97035056454	21.1141465607	22.807244115	22.6885688409	22.8688733746	22.9547740314	22.9098243488	22.8364160773	23.021764328	
2017/11/01	00:02:14	10.029455291	8.45184827548	8.36181090191	8.36969189172	8.3684596312	8.42798141892	8.5964194813	8.96981527051	21.1127818463	22.8067502411	22.6883493414	22.869288515	22.9546690533	22.9094831702	22.8366999951	23.0215782306	
2017/11/01	00:02:30	10.0294884232	8.45221478631	8.36194158842	8.36958118645	8.36815762686	8.4278359436	8.59633109066	8.96984252009	21.1137552789	22.8068719202	22.6888718457	22.8691572925	22.9551915576	22.9103206085	22.8371389941	23.021957583	
