data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/05/23	10:12:07	7.56262236913	7.41144636401	7.45360079302	7.4359580097	7.54574330011	7.56237222322	7.37078379647	7.91864490403	24.7832765399	25.5860936182	24.6929930505	24.7354208746	24.5183835748	25.0380963861	24.584643797	25.0830985577	
2017/05/23	10:12:14	7.55982093728	7.4097730334	7.45586730615	7.43576696009	7.54634237674	7.56313626891	7.37058413896	7.91894278038	24.7829926221	25.5844163556	24.6926494861	24.7353516846	24.5186030743	25.0378625714	24.5845149603	25.0831104871	
2017/05/23	10:12:20	7.56258014203	7.41143958465	7.45336739586	7.43537987913	7.545730004	7.56298870881	7.37160782185	7.91965220239	24.7834029907	25.5849603326	24.6930097516	24.735731037	24.5194309692	25.0381107013	24.5848227368	25.0836353772	
2017/05/23	10:12:27	7.5612611808	7.41025355478	7.455294219	7.43693197323	7.54575649853	7.56322663488	7.37031553404	7.91708163779	24.7833576593	25.5851416583	24.6928498987	24.736205824	24.5200178918	25.038432793	24.5851233557	25.0837928442	
2017/05/23	10:12:34	7.56091786214	7.41003272394	7.4550750349	7.43684678615	7.54735208244	7.56288425489	7.37135330682	7.9185264731	24.7833481158	25.5849507892	24.6938543475	24.7365971057	24.520683548	25.0384638092	24.5854192029	25.084007572	
2017/05/23	10:12:40	7.56138110143	7.41142961878	7.45406786126	7.43574776378	7.54547236578	7.5621793997	7.37174058488	7.91876855822	24.7834530939	25.5849841913	24.6941239502	24.7368762518	24.5207909119	25.0386928522	24.5858247998	25.0843296637	
2017/05/23	10:12:47	7.55964843971	7.40962366384	7.45504443448	7.43589937388	7.54600461859	7.56344505339	7.37116822732	7.91865257803	24.7833194855	25.5850390662	24.6938448041	24.7368333063	24.5214613397	25.0387357977	24.5856577893	25.0842390009	
2017/05/23	10:12:54	7.56193249603	7.41013427147	7.45336501318	7.43655876383	7.54623702272	7.56319702379	7.37112574595	7.91900025182	24.7837584845	25.5843495514	24.6939354669	24.7370384906	24.5217786597	25.0387334119	24.5858415009	25.0841030066	
2017/05/23	10:13:00	7.56109610411	7.41025477263	7.45542035887	7.43673904159	7.54600720072	7.56250164309	7.37036559932	7.91855715839	24.7833194855	25.5842541168	24.6933461584	24.7370909796	24.5217810455	25.0386522925	24.5863353748	25.083919295	
2017/05/23	10:13:07	7.56011400225	7.41019049967	7.4548407303	7.43578132621	7.54574629452	7.56291743147	7.37068744028	7.91908290974	24.7838825494	25.584900686	24.6934988538	24.7373677399	24.5225898535	25.0386522925	24.5867767596	25.0845658643	
2017/05/23	10:13:14	7.56212520961	7.40902045522	7.45398673626	7.43622760278	7.54600929515	7.56355258073	7.37224210256	7.91907786148	24.783591474	25.5846811865	24.6934320496	24.7381288306	24.5228308258	25.0388407758	24.5872515466	25.0841507239	
2017/05/23	10:16:45	7.56212520961	7.40902045522	7.45398673626	7.43622760278	7.54600929515	7.56355258073	7.37224210256	7.91907786148	24.783591474	25.5846811865	24.6934320496	24.7381288306	24.5228308258	25.0388407758	24.5872515466	25.0841507239	
2017/05/23	10:17:11	7.55837211558	7.41189720006	7.44878602421	7.42865063865	7.54174173089	7.55695255475	7.3702481135	7.91295710926	24.8138633197	25.5902593372	24.7333690314	24.7423875983	24.596666167	25.051438139	24.6341027631	25.1171352972	
