data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/09/12	00:00:02	7.04013824752	7.10472779961	6.98683881601	6.94562411182	6.89023554636	6.90493543298	7.03860527614	7.35300592475	22.9762658966	22.83977776	22.8504306439	22.9306720306	23.0129175433	22.8787937982	22.8359723065	23.0016300195	
2017/09/12	00:00:08	7.04009486364	7.10465596282	6.9868705179	6.94554931439	6.89024295292	6.90490886149	7.03856716801	7.3531324273	22.976382804	22.8403265088	22.850516535	22.9310537689	23.0132491785	22.8790848737	22.8361297736	23.0017874866	
2017/09/12	00:00:14	7.04012132727	7.10466397042	6.98681137782	6.94564287586	6.89033950597	6.90489712256	7.03859490427	7.3531504522	22.9762825977	22.8401022375	22.8506716162	22.9308605139	23.0128507391	22.878851059	22.8365711584	23.0021382086	
2017/09/12	00:00:20	7.03997252442	7.10461100235	6.98671784867	6.9456644354	6.89025856166	6.90490328293	7.03845004567	7.3530535021	22.9765474286	22.8402978784	22.8506835455	22.9305455798	23.0132611078	22.8791302051	22.8364518652	23.0016371771	
2017/09/12	00:00:26	7.04008817981	7.10474185192	6.98689233345	6.94554896828	6.89032518942	6.90492143967	7.03853120602	7.35307190504	22.9764686951	22.8408203827	22.8507360345	22.9309153888	23.0131609015	22.8791803082	22.8367572559	23.0020690186	
2017/09/12	00:00:32	7.04010029299	7.10480629902	6.98681038165	6.94549385796	6.89024287559	6.90491061894	7.03861631066	7.35317634822	22.9766595642	22.8408275403	22.8507431921	22.9312494098	23.0135163953	22.8794546826	22.8364280066	23.0018113452	
2017/09/12	00:00:38	7.04012766667	7.10453283697	6.98670721501	6.94558630735	6.89027516505	6.9049508888	7.03854008889	7.35306022473	22.9764615375	22.8403861554	22.8508123822	22.9307865521	23.0131251135	22.8794522968	22.8368670056	23.0017755573	
2017/09/12	00:00:43	7.04021583991	7.10481048802	6.98677275806	6.9455722858	6.89017001431	6.90476864245	7.03866975825	7.3530891152	22.9767215967	22.8408179968	22.8513277289	22.931280426	23.0139458508	22.879886524	22.8369815271	23.0023433929	
2017/09/12	00:00:49	7.04014245828	7.10470883323	6.98693053256	6.94552718925	6.89020740636	6.90491282232	7.03877489589	7.35320700038	22.9768170313	22.8411806482	22.8511464032	22.9313257574	23.0139100629	22.8799915021	22.8370769617	23.0020499316	
2017/09/12	00:00:55	7.04018114288	7.10464298553	6.98679535622	6.94563611821	6.89016285159	6.9050309691	7.03877901281	7.3531504359	22.9766738794	22.840832312	22.8515877881	22.9315905884	23.014277486	22.880256333	22.8370578748	23.0024793872	
