data	hora	D40	D41	D42	D43	D44	D45	D46	D47	T40	T41	T42	T43	T44	T45	T46	T47
14/08/2015	08:56:56	
14/08/2015	08:57:02	
14/08/2015	08:57:09	
14/08/2015	08:57:16	
14/08/2015	08:57:23	
14/08/2015	08:57:29	
14/08/2015	09:00:52	
14/08/2015	09:00:59	
14/08/2015	09:01:06	
14/08/2015	09:01:12	
14/08/2015	09:01:19	
14/08/2015	09:01:26	
14/08/2015	09:01:33	
14/08/2015	09:04:42	
14/08/2015	09:04:48	
14/08/2015	09:04:55	
14/08/2015	09:05:02	
14/08/2015	09:05:09	
14/08/2015	09:05:15	
14/08/2015	09:05:22	
14/08/2015	09:05:29	
14/08/2015	09:05:36	
14/08/2015	09:05:43	
14/08/2015	09:05:50	
14/08/2015	09:05:56	
14/08/2015	09:06:03	
14/08/2015	09:06:10	
14/08/2015	09:06:17	
14/08/2015	09:06:24	
14/08/2015	09:06:30	
14/08/2015	09:06:37	
14/08/2015	09:06:44	
14/08/2015	09:06:51	
14/08/2015	09:06:58	
14/08/2015	09:07:04	
14/08/2015	09:07:11	
14/08/2015	09:07:18	
14/08/2015	09:07:25	
14/08/2015	09:07:31	
14/08/2015	09:19:32	10.4618203473	10.0284695776	10.0301992	10.0283109959	10.0281790265	10.0272579562	8.10655902069	8.4433394085	-36.0224376367	21.3295352283	21.4791098303	21.4036330145	21.2933965424	20.802335575	21.6429519006	21.4019652954	
14/08/2015	09:19:39	10.4618285102	10.0284848173	10.0302130242	10.0283237293	10.0281914457	10.0272689583	8.10641285191	8.44312760818	-36.0225879462	21.3312482788	21.4805890662	21.4049476257	21.2946705939	20.8034139856	21.6445432721	21.4025856201	
14/08/2015	09:19:46	10.4618246291	10.0284859878	10.0302218431	10.0283348542	10.0281984493	10.0272761287	8.10653709897	8.44286576256	-36.0226404352	21.3322670428	21.4827912189	21.4075195874	21.2966079156	20.8054348126	21.6459485461	21.4042676544	
14/08/2015	09:20:29	10.461812464	10.0285563199	10.0302790921	10.0283873422	10.0282543104	10.0273320493	8.10533587313	8.44327223571	-36.0223350446	21.3440031091	21.4923919366	21.4164140894	21.3060869543	20.8151906116	21.6557019592	21.4117210944	
14/08/2015	09:20:38	10.4618352149	10.0285755341	10.0302978065	10.0284071175	10.0282734651	10.0273608513	8.10620597744	8.44232034838	-36.022976842	21.3460358655	21.4943316443	21.4185279651	21.3081173248	20.8188362122	21.6575677051	21.4135987695	
14/08/2015	09:27:01	10.461971695	10.029461745	10.0311267405	10.0291772513	10.0290939417	10.0282131886	8.10059025072	8.44306911993	-36.0236544275	21.4659016858	21.6043939484	21.5198937939	21.4180006891	20.9368315149	21.7562208063	21.4944318506	
14/08/2015	09:27:08	10.4619734326	10.0294827513	10.0311459354	10.0291937664	10.0291101953	10.0282329937	8.1005761889	8.44306947318	-36.0234635583	21.4681253113	21.6063217267	21.5214135895	21.4194894684	20.9389286896	21.7583537689	21.4960613959	
14/08/2015	09:29:42	10.4620011303	10.0297208056	10.0313938818	10.0294225038	10.029371057	10.0285139344	8.09827481333	8.4409722439	-36.023909715	21.5026797833	21.6421526361	21.5544244073	21.4577038562	20.9813899158	21.7943588464	21.5282538623	
14/08/2015	09:29:49	10.4620235675	10.0297526054	10.0314242427	10.0294515398	10.0294006937	10.0285433763	8.09769832581	8.44168701041	-36.0239860626	21.5043999915	21.6436414154	21.5557151599	21.4590995868	20.9827832605	21.7952440021	21.5289433771	
14/08/2015	09:29:56	10.4620372659	10.0297847584	10.0314517654	10.0294831807	10.0294266483	10.0285744906	8.09800357015	8.44145730971	-36.0237975793	21.5064756934	21.6449894287	21.5577097424	21.460220943	20.9847539844	21.7971765521	21.5303128632	
14/08/2015	09:30:03	10.4620021438	10.0297516142	10.0314186465	10.0294512904	10.029396563	10.0285440864	8.0981345633	8.44110990964	-36.0239121008	21.5073274469	21.6458316388	21.5587452075	21.4615355542	20.9860685956	21.7984863916	21.5309498889	
14/08/2015	09:30:10	10.4620048531	10.0297585399	10.0314266119	10.0294591575	10.0293979691	10.0285549088	8.09780976277	8.4414878103	-36.0240170789	21.5084058575	21.6470627448	21.55996677	21.4617550537	20.9878031189	21.7996268347	21.5321499786	
14/08/2015	09:30:16	10.4620378499	10.0297964493	10.031459275	10.029495937	10.0294355006	10.0285918482	8.0976876894	8.44152249116	-36.0242628229	21.5100998212	21.6479383569	21.5614865656	21.4634060718	20.9893921045	21.8011967334	21.5335886548	
14/08/2015	09:30:23	10.4620699381	10.0298267133	10.0314885308	10.0295237522	10.0294645667	10.0286206152	8.09655494856	8.44186223617	-36.0246946643	21.5115050952	21.6491813922	21.5625124872	21.4646371777	20.9905993518	21.8027785614	21.534411778	
14/08/2015	09:30:30	10.4620321299	10.0297967732	10.0314613166	10.0294940178	10.0294325712	10.0285909948	8.09670856334	8.44138331944	-36.024594458	21.512404566	21.6504888458	21.5634334308	21.4652026276	20.9915751703	21.80421008	21.5353231781	
14/08/2015	09:30:37	10.4619935197	10.0297787086	10.0314465449	10.0294805348	10.0294174933	10.028576051	8.09621341048	8.44153730054	-36.0239836768	21.5131990588	21.6517819843	21.5649317535	21.4664552063	20.9928921674	21.8054912891	21.5361558447	
14/08/2015	09:30:44	10.4619811246	10.0297809784	10.0314453681	10.0294825087	10.0294177251	10.0285791031	8.09660364655	8.4411923846	-36.0236878296	21.514303714	21.6523450482	21.5659863055	21.4672425415	20.9941542896	21.8066460474	21.5370887177	
