data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/09/05	00:00:02	7.02676487176	7.0929246239	6.97582739155	6.93554772863	6.88127401529	6.89674893918	7.03186321137	7.34772849563	22.9949853876	22.8977494897	22.9189812958	23.0022813605	23.0688016418	22.9442237396	22.9129951624	23.0762717828	
2017/09/05	00:00:08	7.02671938011	7.09304259189	6.97592798837	6.93541535326	6.88153844952	6.89676209514	7.03188475592	7.34790688494	22.9949352844	22.8979141144	22.9191960236	23.0022408008	23.0694983142	22.9443478046	22.9130882111	23.0766606787	
2017/09/05	00:00:14	7.02671022968	7.09294605819	6.97595593923	6.93527314467	6.88132986055	6.89675578145	7.03189785325	7.3477231823	22.9950855939	22.8977661908	22.9191626215	23.002851582	23.0692692712	22.944498114	22.9129426733	23.0764125488	
2017/09/05	00:00:20	7.02665075955	7.09292704888	6.97598585889	6.9352494999	6.88139012662	6.89683305324	7.03198118191	7.34762767669	22.9951118384	22.8981932605	22.9191697791	23.0030329077	23.0696343085	22.9445768475	22.9126611414	23.0766940808	
2017/09/05	00:00:25	7.02672042198	7.09290464414	6.97607494104	6.93539493999	6.88141558989	6.89674043083	7.03199512976	7.34782448093	22.9951643274	22.8988589166	22.9194751697	23.0028277234	23.06981802	22.9444742554	22.9128758691	23.0765819452	
2017/09/05	00:00:31	7.02661460972	7.09298950151	6.97587974329	6.93528487405	6.88140372718	6.89678529927	7.03185924177	7.34779076073	22.9949209692	22.8980310217	22.9193964362	23.0028802124	23.0699540143	22.9441903375	22.9129402875	23.076655907	
2017/09/05	00:00:37	7.02684903455	7.09308319743	6.97597312791	6.9353111081	6.88146853593	6.89678357222	7.03183854638	7.34763274707	22.9957106903	22.8980858966	22.919768631	23.0033454559	23.0701401117	22.9448464502	22.913300553	23.0768944934	
2017/09/05	00:00:43	7.02659157754	7.09292714703	6.97608038577	6.93554657511	6.88149186351	6.89679261467	7.03187504559	7.34771906337	22.9955007343	22.8979880762	22.9203746405	23.0036770911	23.0701544269	22.9448512219	22.9132743085	23.076865863	
2017/09/05	00:00:49	7.02694577175	7.09298410318	6.97593418054	6.93538484632	6.88138681455	6.89683872354	7.03186344299	7.34762538317	22.9956963751	22.898255293	22.9201002661	23.0036460748	23.069942085	22.9446054779	22.9133363409	23.076796673	
2017/09/05	00:00:55	7.02673093197	7.09295079093	6.97605131508	6.93542551971	6.88130085186	6.89685450211	7.0318582737	7.34771182352	22.9951762567	22.8983578851	22.9202147876	23.0037200366	23.0700542206	22.9446078638	22.913123999	23.0769398248	
2017/09/05	00:01:01	7.02668619611	7.09297737182	6.97605676617	6.93532177045	6.88146583569	6.89678549529	7.03193960653	7.34770994962	22.9956892175	22.8985845422	22.9202768201	23.0037916125	23.0703429102	22.9448345209	22.9135439111	23.0769732269	
2017/09/05	00:01:07	7.02681429907	7.09288342845	6.97609910074	6.93534572497	6.88138384984	6.89673435198	7.03204267125	7.34762752684	22.9956892175	22.8983101678	22.9204820044	23.0035888141	23.0702641766	22.9449490424	22.9137085358	23.0769231238	
2017/09/05	00:01:12	7.0267212893	7.09297814607	6.97596963804	6.93546853987	6.88143655345	6.89667915829	7.03187176345	7.34769507021	22.9958657715	22.8983125537	22.920770694	23.003836944	23.0708773438	22.9444885706	22.9135272101	23.0770996777	
2017/09/05	00:01:18	7.02677111768	7.0929413327	6.97606017488	6.93536557358	6.88138949067	6.89669863809	7.03196753266	7.34762821213	22.9960184668	22.8985463684	22.9203817981	23.0038250146	23.0697822321	22.9445100433	22.9131693304	23.0772309003	
2017/09/05	00:01:24	7.02675017223	7.09286437336	6.97617662848	6.93548285912	6.88132047287	6.89665551343	7.03187345719	7.34769454058	22.9960972003	22.8984819501	22.9201121954	23.0037701398	23.0700947803	22.9444957281	22.9135319818	23.0772165851	
2017/09/05	00:01:30	7.02677826812	7.0929227394	6.9760487226	6.93542401604	6.88136854501	6.89676509129	7.031914187	7.34756859974	22.9955293646	22.8985296674	22.920682417	23.0038178571	23.0703071222	22.9446460376	22.913159787	23.0769779987	
2017/09/05	00:01:36	7.02665538838	7.09285872445	6.97600068705	6.93536738798	6.88130990292	6.8967635158	7.03187597309	7.34769530664	22.9958252118	22.8985797705	22.9209257751	23.0041232477	23.0704598175	22.9442857721	22.9133649713	23.0770996777	
