data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/05/19	00:00:04	7.48195458447	7.33455478618	7.3848450916	7.36387663622	7.47113685124	7.48479138718	7.29738484978	7.72506203305	24.9200772247	25.7347353473	24.890738252	25.0206366315	24.7423351093	25.1503083539	24.6479312323	25.109037674	
2017/05/19	00:00:10	7.48492160447	7.33501490835	7.3844540123	7.36321883735	7.47044211614	7.48390772058	7.29719910848	7.72487543606	24.9205615552	25.7345253912	24.8906308881	25.0205459686	24.7419915448	25.1509429938	24.6481507318	25.1090281305	
2017/05/19	00:00:17	7.48479733149	7.33466550206	7.38436001516	7.36480758422	7.47075997799	7.48484384329	7.29635220085	7.7242232662	24.9203993164	25.733826333	24.890509209	25.0205483545	24.7422277454	25.1512531561	24.6490716754	25.1095935803	
2017/05/19	00:00:24	7.48164898182	7.33425735202	7.3840763036	7.36422259059	7.46996301655	7.48283429692	7.29726799936	7.72470298035	24.92054724	25.7343607666	24.8904233179	25.0197753345	24.7422229736	25.1512054388	24.6485062256	25.1095888086	
2017/05/19	00:00:30	7.48415753441	7.33451486742	7.38467701142	7.36477352221	7.47027484496	7.48513945058	7.29863517801	7.72511855218	24.9208526306	25.7337189691	24.890614187	25.0199184863	24.7422706909	25.1504491199	24.6484513507	25.1098226233	
2017/05/19	00:00:37	7.48451886992	7.33597493676	7.38398096444	7.36536900895	7.47091595163	7.48416529699	7.29669348894	7.72413443495	24.9204327185	25.7339456262	24.890368443	25.0201618445	24.7424758752	25.1507020215	24.648410791	25.1094719012	
2017/05/19	00:00:44	7.48278656927	7.33558874865	7.38375890786	7.36376817949	7.47002675041	7.48214755012	7.29733642555	7.72510448376	24.9206259735	25.7345587933	24.890614187	25.0203550995	24.7421800281	25.1509453796	24.6482270795	25.1099204437	
2017/05/19	00:00:50	7.48310187251	7.33407426496	7.38401517478	7.36298546918	7.47050579127	7.4850541914	7.29667461261	7.72459862279	24.9206450604	25.7348832709	24.8904710352	25.0197944214	24.7424042993	25.1516611389	24.6478381836	25.1097892212	
2017/05/19	00:00:57	7.48443454318	7.33567767221	7.38500598296	7.36512465	7.46977725145	7.48349713075	7.29712578743	7.72409193321	24.9206140442	25.7350001782	24.8903350409	25.0202501215	24.7423804407	25.1512006671	24.6482652533	25.1099299872	
2017/05/19	00:01:04	7.48367482069	7.33687117887	7.38456727441	7.36466964068	7.4703095068	7.48309452246	7.29611940292	7.722978863	24.9211460919	25.7349500751	24.8907644965	25.0197610193	24.7427502496	25.1514249384	24.6486851654	25.1100325793	
2017/05/19	00:01:10	7.48554626665	7.33537748104	7.38390331078	7.36388452949	7.4701469019	7.48390881906	7.2966957865	7.72519955435	24.9210554291	25.7354916663	24.8904495624	25.0196512695	24.7423852124	25.1509048199	24.6482580957	25.1097677484	
2017/05/19	00:01:17	7.48327383956	7.33442825462	7.38568073051	7.36556101972	7.46944167034	7.48370908843	7.29760948051	7.72478903588	24.9209719238	25.7358137579	24.8906953064	25.0196894434	24.742638114	25.15129133	24.6491981262	25.1098894275	
2017/05/19	00:01:24	7.48278450127	7.33615620197	7.38351299329	7.36408147524	7.47000985085	7.48321798801	7.29607006319	7.72447059566	24.9214371674	25.7362503711	24.8907501813	25.0198588397	24.7425426794	25.151799519	24.6491003058	25.1100683673	
2017/05/19	00:01:30	7.48513000318	7.3356904769	7.38534081565	7.36437982665	7.47138399929	7.48489910059	7.297323057	7.7239587925	24.9215230585	25.7366344952	24.8909672949	25.0203527136	24.7426572009	25.1512292975	24.6493675226	25.1099896338	
2017/05/19	00:01:37	7.48244707139	7.33493880701	7.38518456407	7.36492153864	7.47102366243	7.48428677286	7.29720316177	7.72464967745	24.9214872705	25.7371021246	24.8910150122	25.020011535	24.7425188208	25.1515752478	24.6487615131	25.1099967914	
2017/05/19	00:01:44	7.48442222759	7.33484741252	7.38421604395	7.36432285419	7.47088400072	7.48492463042	7.29819337463	7.72564922733	24.9215302161	25.7370353204	24.8908122137	25.0200664099	24.7423279517	25.15129133	24.6489666974	25.1094981458	
2017/05/19	00:01:50	7.48397092533	7.3351947276	7.38443525032	7.364039378	7.47058606611	7.48428549076	7.29809607278	7.72575940221	24.9215326019	25.7374623901	24.8912249683	25.0205674414	24.7425045056	25.1512507703	24.6490406592	25.1100325793	
2017/05/19	00:01:57	7.48302276728	7.33405700458	7.3839538163	7.3640110629	7.47139379239	7.48391190949	7.29696161934	7.72454386647	24.9216328082	25.7374814771	24.8913227887	25.0202882953	24.7424377014	25.1517589594	24.6490979199	25.1099061285	
2017/05/19	00:02:04	7.48268129617	7.33605320431	7.38300102795	7.36378923422	7.47063547494	7.48300190892	7.29687341669	7.72449615577	24.921795047	25.7379228619	24.8912201965	25.0203574854	24.7422134302	25.1520929803	24.6492434576	25.1097892212	
2017/05/19	00:02:10	7.48209960025	7.33525303519	7.38531129114	7.36397224582	7.47097497775	7.4832482428	7.29720573956	7.72484229875	24.9220980518	25.7376150854	24.891318017	25.0207940985	24.742638114	25.1522027301	24.6490764471	25.1095625641	
2017/05/19	00:02:17	7.48475476713	7.33579966853	7.38486010783	7.36489466978	7.47008238057	7.4849492149	7.29801296935	7.72564918598	24.9216041779	25.7377582373	24.8913251746	25.0203622571	24.7428814722	25.1521478552	24.6495202179	25.109722417	
2017/05/19	00:02:23	7.48520581052	7.33491046425	7.38268755771	7.36473693696	7.46917466222	7.48258874094	7.29576189931	7.72403810118	24.9216852972	25.7373001514	24.8912846149	25.0210064404	24.7424901904	25.1523244092	24.650080896	25.1101017694	
2017/05/19	00:02:30	7.4837946123	7.33641791233	7.38660339635	7.36448375684	7.47183906004	7.4843415664	7.29767822664	7.72498668993	24.9217115417	25.7375912268	24.8912488269	25.020715365	24.7426094836	25.152205116	24.6501715588	25.1099228296	
2017/05/19	00:02:37	7.48501749888	7.33657721879	7.38495209244	7.3644118754	7.47041539419	7.48359216345	7.29641457827	7.72413303702	24.921900025	25.7376341724	24.8915184296	25.0208823755	24.7426858313	25.1521573987	24.650624873	25.1095888086	
2017/05/19	00:02:43	7.48242024195	7.33612991551	7.38463456365	7.36549595766	7.4714057061	7.48462543984	7.29816744225	7.72588057955	24.9221624701	25.7377940253	24.8914349243	25.0208489734	24.7429983795	25.1520333337	24.6505079657	25.1100969977	
2017/05/19	00:02:50	7.48540632086	7.33687523573	7.38580689663	7.36397223939	7.47032547745	7.48370021704	7.298169095	7.72529589457	24.9221481549	25.7375244226	24.8915327448	25.0206509467	24.7426500433	25.1520691217	24.6500164777	25.1106863062	
2017/05/19	00:02:57	7.48283208207	7.33619160701	7.38428940456	7.36482188325	7.47051884361	7.48476344255	7.29762189692	7.7249444643	24.9222197308	25.7375959985	24.89161625	25.0209897394	24.7430174664	25.1511195477	24.6507727966	25.1102997961	
2017/05/19	00:03:03	7.48373135606	7.3341729981	7.38380812972	7.36453520002	7.47071343843	7.4847674501	7.29771838681	7.72448312688	24.9223270947	25.7382115515	24.8916186359	25.0206771912	24.7430723413	25.151062287	24.6502240479	25.1102711658	
2017/05/19	00:03:10	7.48416482556	7.33662038232	7.3863258894	7.36462353771	7.47115222921	7.48331305638	7.29739862573	7.72553040541	24.9224559314	25.7378966174	24.8916568097	25.0211829944	24.7429435046	25.1521645563	24.6510877307	25.1100635956	
2017/05/19	00:03:17	7.48520325055	7.33577339578	7.3850981839	7.36538642954	7.47038680499	7.48316591651	7.29571163426	7.72515470851	24.9224654749	25.7368993262	24.8917880322	25.0212641138	24.7433252429	25.1526321857	24.6510185406	25.1105431543	
2017/05/19	00:03:23	7.48306863552	7.33505371362	7.38593096165	7.36477010036	7.47016025905	7.48465810542	7.29812915341	7.72500311491	24.9223509534	25.7370973529	24.8918285919	25.0213571625	24.7433538733	25.1528683862	24.6512618988	25.1103403558	
2017/05/19	00:03:30	7.48391223957	7.33555819374	7.38448351492	7.36430700566	7.47127712457	7.48388517875	7.29724256476	7.72509310848	24.9221576984	25.7381185028	24.8916544238	25.0210899457	24.7432083356	25.1524890338	24.6507727966	25.1102878668	
2017/05/19	00:03:37	7.48531497775	7.33699362314	7.3840408839	7.36425229275	7.46970734738	7.48410174007	7.29645730446	7.72481334564	24.9224535455	25.7377606232	24.8919812872	25.0215599609	24.7436067749	25.1528779297	24.6514241376	25.1108914905	
2017/05/19	00:03:43	7.48578911488	7.33607649845	7.38654320085	7.36536760433	7.47149183895	7.48373985683	7.29748007936	7.72420867885	24.9223533392	25.7377152917	24.892126825	25.021786618	24.7434970251	25.1528063538	24.6515911481	25.1105741705	
2017/05/19	00:03:50	7.48462585242	7.33833406502	7.38503005491	7.36560676211	7.47035808908	7.4826167446	7.29626503045	7.724930649	24.9219405847	25.7346780865	24.8918476788	25.0216697107	24.7433705743	25.1525987836	24.6517700879	25.1107149365	
2017/05/19	00:03:57	7.48298265776	7.33516605263	7.383953471	7.36420265816	7.46923864743	7.48331976527	7.2963309548	7.72406159031	24.9223604968	25.7372071027	24.8919693579	25.0219584003	24.7434326068	25.1527443213	24.6514742407	25.1104310187	
2017/05/19	00:04:03	7.48594654289	7.33687291799	7.38629604411	7.36444809847	7.47063766149	7.48490931299	7.29770930471	7.72446020086	24.9226086267	25.7370878094	24.8923415527	25.0222566333	24.7436091608	25.1529399622	24.6517724738	25.1108413873	
2017/05/19	00:04:10	7.48393053865	7.33684580872	7.38647061464	7.36515534568	7.47148051984	7.48399598072	7.29643855345	7.72422071664	24.9223127795	25.7367943481	24.892248504	25.022667002	24.743587688	25.1534123633	24.6520802502	25.1109749957	
2017/05/19	00:04:17	7.48408659269	7.33627618573	7.38514508955	7.36535373175	7.47115784599	7.48276253698	7.29627995852	7.72392677495	24.9215397595	25.7366177942	24.8921101239	25.022507149	24.7438620624	25.1533312439	24.6521780707	25.1107745831	
