data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/10/27	10:04:58	7.55949714395	7.69157453809	7.60354787065	7.61235604195	7.6095125569	7.67211459043	7.83932795535	8.21408135764	22.8968714917	22.7967343829	22.7821424371	22.9668822925	23.0381719165	22.994889953	22.9166526923	23.1110409827	
2017/10/27	10:05:04	7.55962118323	7.69142192576	7.60358545705	7.61214275836	7.60958176052	7.6720653786	7.83933040353	8.21416778637	22.896795144	22.7968751489	22.7818537476	22.9673904816	23.0375038745	22.9948851813	22.9165047687	23.1108524994	
2017/10/27	10:05:10	7.55961591597	7.69172319809	7.60353430102	7.61216613098	7.6096373321	7.6721768374	7.83925960614	8.21431046507	22.897007486	22.7969848987	22.7814624658	22.9667820862	23.0381027264	22.9949305127	22.916428421	23.1109073743	
2017/10/27	10:07:22	7.55947835333	7.69161044777	7.60340351393	7.6121446706	7.60943557588	7.67205592623	7.8392400317	8.21410011795	22.8980882825	22.7976553265	22.7806989893	22.965467475	23.0366759796	22.9941288623	22.9155122491	23.109962572	
2017/10/27	10:07:28	7.55960590782	7.69174569893	7.60332861882	7.61203371135	7.60949193722	7.67204941888	7.83923961089	8.2142754471	22.8979761469	22.7978509674	22.7804866473	22.9649091827	23.0371913263	22.9936707764	22.9157102759	23.110015061	
2017/10/27	10:07:34	7.5596515506	7.69155847721	7.60341833686	7.61210834807	7.6095507725	7.67198561029	7.83930863503	8.2142343452	22.898324483	22.7981062549	22.780720462	22.9652646765	23.0369360388	22.9936111298	22.9157389063	23.1100269904	
2017/10/27	10:07:40	7.559581406	7.69147871947	7.6033343718	7.61244495025	7.60961771749	7.67207064075	7.83939994515	8.21433988891	22.8979880762	22.7979344727	22.7804651746	22.9652265027	23.0366902948	22.9932532501	22.9159345471	23.1098623657	
2017/10/27	10:07:45	7.55953416576	7.69159465724	7.60338646192	7.6120995472	7.6095424412	7.67200921862	7.83909564387	8.21430974266	22.8981527008	22.7975980658	22.7809184888	22.9651644702	23.0367714142	22.993448891	22.9158749005	23.1096595673	
2017/10/27	10:07:51	7.55965994628	7.69163792986	7.603320891	7.61196586319	7.60964938094	7.67194341743	7.83934190527	8.21432959291	22.8982457495	22.7980776245	22.7811332166	22.9652694482	23.0364684094	22.9934703638	22.9158247974	23.1098146484	
2017/10/27	10:07:57	7.55954312367	7.69165579899	7.60321183279	7.61221635765	7.60958257978	7.6720336505	7.83945461286	8.21426028592	22.8980858966	22.7982875806	22.7813837323	22.9656822028	23.0369217236	22.9939642377	22.9154311298	23.1099816589	
2017/10/27	10:08:03	7.55979696935	7.69168154632	7.60335898601	7.6120936232	7.6095531599	7.67224682458	7.83931831344	8.21437682068	22.898324483	22.7979344727	22.7813264716	22.9658897729	23.0363109424	22.9937328088	22.9155456512	23.1096070782	
2017/10/27	10:08:09	7.55949148749	7.69164124565	7.60334491988	7.61218553116	7.60962351599	7.67190550202	7.8392523594	8.2141752774	22.8986107867	22.7980466083	22.7811523035	22.9652336603	23.0353876129	22.9933009674	22.9151662988	23.1092754431	
2017/10/27	10:08:15	7.55953098677	7.69175711658	7.6033788052	7.61224517858	7.60964029303	7.6721231529	7.83916988395	8.21424524535	22.8989281067	22.7984021021	22.7817654706	22.965326709	23.0368000446	22.9934775214	22.9155551947	23.1091656934	
2017/10/27	10:08:20	7.55960383327	7.69138268177	7.60332584589	7.61217518318	7.60944785357	7.67204488989	7.83921355631	8.21427098992	22.8985201239	22.7976076093	22.7817678564	22.9649903021	23.0360771277	22.9928142511	22.9150040601	23.1086145587	
