data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/11/06	11:15:36	8.04224529474	7.99418094546	7.70302963569	7.53589814784	7.35270297038	7.25838739972	7.2136035063	7.39234622661	22.9519205377	22.8513659027	22.8245988916	23.0003488104	23.0816256622	22.9501812427	22.9394567828	23.1073190344	
2017/11/06	11:15:42	8.04234901555	7.99426380211	7.70307040931	7.53586210918	7.35282442863	7.25838144585	7.21371165267	7.39226762045	22.9518394183	22.8516044891	22.8248350922	23.0006565869	23.0815827167	22.9498639227	22.9394281525	23.1067440411	
2017/11/06	11:15:48	8.04224690185	7.99417101407	7.70308397733	7.53599805778	7.35270344271	7.25836441335	7.21360098077	7.39213144244	22.9518179456	22.8516545923	22.8248470215	23.0004108429	23.0816566785	22.9498018903	22.9389366644	23.1069611548	
2017/11/06	11:15:54	8.04236624884	7.99415610606	7.70317348924	7.53598129155	7.35274741208	7.25841630853	7.21372532868	7.39217410235	22.9523786237	22.8518454614	22.8251500262	23.0005110492	23.0814992114	22.9496873688	22.9388293005	23.1071615674	
2017/11/06	11:15:59	8.04233909603	7.99425153096	7.70317960907	7.53583444525	7.35274189934	7.25831036246	7.2137076177	7.39219310725	22.9527054871	22.8521532379	22.8250188037	23.0008188257	23.0815517004	22.9493509619	22.9393017017	23.1071114642	
2017/11/06	11:16:05	8.04225720666	7.99398109608	7.70319569821	7.53594121218	7.35256641642	7.2583574919	7.21366030006	7.39242614324	22.9525718787	22.8524490851	22.8255293787	23.0004394733	23.0815493146	22.9495442169	22.9392396692	23.1068227747	
2017/11/06	11:16:11	8.04218464586	7.99408010357	7.70302034243	7.535955973	7.3526957854	7.25824712264	7.21374946202	7.39248608618	22.9529321442	22.8524729437	22.825417243	23.0008904016	23.0816137329	22.9492173535	22.9396715106	23.1066533783	
2017/11/06	11:16:18	8.04233508402	7.99409165916	7.7031359677	7.53589448506	7.35277075305	7.25813183262	7.21359154752	7.39231830813	22.9528987421	22.8520196295	22.8248422498	23.0008999451	23.081365603	22.9490217126	22.9390655011	23.1065078406	
2017/11/06	11:16:24	8.0422891613	7.99420540152	7.70325513381	7.53566657315	7.35277271557	7.25835815191	7.21341479664	7.39239076972	22.9527985358	22.8522462866	22.8252216022	23.0008498419	23.0814681952	22.9487258655	22.9392826147	23.1069587689	
2017/11/06	11:16:30	8.04214425557	7.99412718938	7.70325510622	7.53567340336	7.35266649504	7.25834964507	7.21363627999	7.39249167798	22.9534522626	22.852766405	22.82582284	23.0013795038	23.0818046021	22.9485087518	22.9395665326	23.1071711108	
2017/11/06	11:16:36	8.04220147554	7.99400804938	7.70322612357	7.53569940671	7.3525516061	7.25826653593	7.21365231862	7.39234362884	22.9530967688	22.8527377747	22.8261234589	23.0012482813	23.0817163251	22.9486256592	22.9394663263	23.1071639532	
2017/11/06	11:16:42	8.04230537076	7.99412180836	7.70310081925	7.53564478186	7.35261276376	7.25818559073	7.21361881375	7.39245569209	22.9533592139	22.8526137097	22.8259683777	23.0012888409	23.0816423633	22.9480602094	22.9398528363	23.1069778558	
2017/11/06	11:16:48	8.04233270022	7.99419108158	7.7031825072	7.53575943286	7.35259840214	7.25821761507	7.21362661953	7.39245254	22.9536001862	22.852484873	22.8257274054	23.0011075153	23.0821171503	22.9482272198	22.9394782556	23.107309491	
2017/11/06	11:16:54	8.04227173976	7.99420276311	7.7031921914	7.53578329355	7.35267762141	7.25826429246	7.2135567182	7.39243939436	22.9536097296	22.8531075836	22.8266173328	23.001446308	23.0821171503	22.9483608282	22.9397764886	23.1071663391	
2017/11/06	11:17:00	8.08325159065	8.00991747692	7.70900534847	7.53873827885	7.3452151494	7.24599750973	7.20240446238	7.35360491456	22.9535095233	22.8531099695	22.826648349	23.0016825085	23.0818117596	22.9486185016	22.9397669452	23.1073405072	
2017/11/06	11:17:06	8.18315244596	8.09669008184	7.75709223217	7.5477021568	7.32563687491	7.19360765041	7.13048682874	7.24675869829	22.9538363867	22.8531099695	22.826016095	23.0016419489	23.0822197424	22.9488332294	22.9406353998	23.1074120831	
2017/11/06	11:17:12	8.2096432477	8.11658660894	7.77247619817	7.55645351011	7.32405306583	7.18426770767	7.09042952396	7.22433612008	22.9537170935	22.8535728271	22.8263358008	23.0018185028	23.082121922	22.9483345837	22.9410290674	23.1069158234	
2017/11/06	11:17:19	8.18765962604	8.09910676789	7.76261314019	7.55504229906	7.32930394382	7.19666229033	7.10100350046	7.24862839339	22.9535763275	22.8533008386	22.8262570673	23.0017087531	23.081981156	22.9483775293	22.941370246	23.1068036877	
2017/11/06	11:17:25	8.17664205679	8.08953919826	7.75550476975	7.55153260335	7.33095789156	7.20275386258	7.11513447281	7.25914293028	22.9535166809	22.8531171271	22.8264312354	23.0018113452	23.082472644	22.9484514911	22.9416875659	23.1069683124	
2017/11/06	11:17:31	8.17992932556	8.09277766489	7.75763304471	7.55191799868	7.32939132722	7.19965592773	7.11461565617	7.2550027173	22.9533425128	22.8535370392	22.8264932678	23.0018041876	23.0825251331	22.9484634204	22.9418736633	23.1074621863	
2017/11/06	11:17:32	8.18130173574	8.09363000512	7.75827454194	7.55199391617	7.32926237775	7.19904969438	7.11401469583	7.25379841337	22.9536693762	22.8538639026	22.8267079956	23.0017302258	23.0831693164	22.9483799152	22.941809245	23.1072546161	
2017/11/06	11:17:35	8.18229742317	8.09430506625	7.75872276324	7.55223865476	7.3291176756	7.19859301251	7.11298855495	7.25280122848	22.9536145013	22.8536229303	22.8264980396	23.0019091656	23.0824583289	22.9481699591	22.9417328973	23.107414469	
2017/11/06	11:17:37	8.18330007272	8.09522746145	7.75910585777	7.55231017316	7.3289311926	7.19820843148	7.11191775971	7.2516751201	22.9534761212	22.8533127679	22.8266578925	23.0021000348	23.0826897577	22.9481055408	22.9411388171	23.1072593878	
2017/11/06	11:17:39	8.18365293801	8.09581833544	7.75928486752	7.55248077749	7.32891498477	7.19796930749	7.1110095394	7.25140319032	22.9533162683	22.8532650507	22.8264980396	23.0020236871	23.0826420404	22.9479051282	22.9417543701	23.1073858386	
2017/11/06	11:17:40	8.18368157767	8.09574374612	7.75961675093	7.5526945949	7.32897885199	7.19794515797	7.11087733833	7.25147962106	22.95363836	22.8538639026	22.8267676422	23.0019950568	23.0828305237	22.9481842743	22.9418307178	23.1069277527	
2017/11/06	11:17:42	8.18365142374	8.0956160413	7.75953451308	7.55276967781	7.32897775771	7.1980806536	7.11083074961	7.25155764948	22.9542038098	22.8537350659	22.8269346527	23.002061861	23.0830285504	22.9486375885	22.9417114246	23.1075767078	
2017/11/06	11:17:44	8.18352228656	8.09542083227	7.75932208945	7.55271869911	7.32907498293	7.19803135036	7.11037731389	7.25189033444	22.954182337	22.8537851691	22.8270849622	23.0017373834	23.0822865466	22.9483154968	22.9414704523	23.1073548224	
2017/11/06	11:17:46	8.18280638751	8.09521167145	7.75907940914	7.55250961845	7.3289455794	7.19794529935	7.11384579649	7.25054950618	22.9543421899	22.8542217822	22.8275239612	23.0019234808	23.0828710834	22.9482964099	22.9416660931	23.107571936	
