data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/12/05	09:55:00	6.92396939856	7.22932748634	7.37820685396	7.58873124581	7.77324010331	8.00741719079	8.63906898455	9.02246786984	23.0533722577	22.9638975763	22.9536526752	23.1120692902	23.1546999127	23.097536991	23.3765566583	23.1922581879	
2017/12/05	09:55:01	6.92389831015	7.22941089889	7.3781626673	7.58886093626	7.77351410166	8.00731209851	8.63911389278	9.02254744529	23.0530931116	22.9639452936	22.9535978003	23.1121885834	23.1546044781	23.0972387579	23.3765662018	23.1921961554	
2017/12/05	09:55:03	6.92406015809	7.22942432428	7.37810889628	7.58887423687	7.77334589583	8.00749512637	8.63908127554	9.02246309344	23.0531599158	22.9641242334	22.9536836914	23.1121003064	23.1540557294	23.097396225	23.3765184845	23.1919933569	
2017/12/05	09:55:04	6.92401014945	7.22940673675	7.37827646931	7.58887160292	7.77333545341	8.00735651118	8.63903660599	9.0224927043	23.0532648938	22.9642697711	22.9539103485	23.1125035175	23.1544899567	23.0976133386	23.3767976306	23.1925301764	
2017/12/05	09:55:06	6.92405277364	7.22946063909	7.37811488957	7.58894410781	7.77324224988	8.00742397573	8.63911629421	9.02254302969	23.0530931116	22.9640144836	22.9538507019	23.1121671106	23.1548907819	23.0974320129	23.3768906793	23.1921126501	
2017/12/05	09:55:07	6.92408034847	7.22929729583	7.37810652416	7.58883157085	7.7732314996	8.00739514845	8.63924330381	9.02253896732	23.0531360571	22.9642530701	22.9535262244	23.1123126483	23.1547189996	23.0977207025	23.3769026086	23.1921436664	
2017/12/05	09:55:08	6.92413751077	7.22937888401	7.37807099355	7.58888859954	7.77327299269	8.00746330277	8.63925814688	9.02264011964	23.0533603284	22.9639357501	22.9538029846	23.1119332959	23.1547977332	23.0974415564	23.3767284406	23.1924299701	
2017/12/05	09:55:10	6.92417531613	7.22944529444	7.37805882202	7.58901396824	7.77334667568	8.00742487361	8.63923614002	9.02250922817	23.0530549377	22.9640502716	22.9535071375	23.1116374487	23.1544732556	23.0973938391	23.3765757452	23.1925755078	
2017/12/05	09:55:12	6.92402653384	7.22940164824	7.37813645558	7.58881644051	7.77334669732	8.00745335277	8.63925172384	9.0224909933	23.0531312854	22.9640669727	22.9536359741	23.1115324707	23.1546331085	23.0974391705	23.3767260547	23.1922939758	
2017/12/05	09:55:14	6.9240078549	7.22927851028	7.3781209873	7.58895366608	7.77337852588	8.00742033054	8.63910005477	9.02250345362	23.0531360571	22.9638355438	22.9538435443	23.1117090247	23.1544016797	23.0972602307	23.3765876746	23.1919098517	
