data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/05/23	10:12:07	7.56262236913	7.41144636401	7.45360079302	7.4359580097	7.54574330011	7.56237222322	7.37078379647	7.91864490403	24.7832765399	25.5860936182	24.6929930505	24.7354208746	24.5183835748	25.0380963861	24.584643797	25.0830985577	
2017/05/23	10:12:14	7.55982093728	7.4097730334	7.45586730615	7.43576696009	7.54634237674	7.56313626891	7.37058413896	7.91894278038	24.7829926221	25.5844163556	24.6926494861	24.7353516846	24.5186030743	25.0378625714	24.5845149603	25.0831104871	
2017/05/23	10:12:20	7.56258014203	7.41143958465	7.45336739586	7.43537987913	7.545730004	7.56298870881	7.37160782185	7.91965220239	24.7834029907	25.5849603326	24.6930097516	24.735731037	24.5194309692	25.0381107013	24.5848227368	25.0836353772	
2017/05/23	10:12:27	7.5612611808	7.41025355478	7.455294219	7.43693197323	7.54575649853	7.56322663488	7.37031553404	7.91708163779	24.7833576593	25.5851416583	24.6928498987	24.736205824	24.5200178918	25.038432793	24.5851233557	25.0837928442	
2017/05/23	10:12:34	7.56091786214	7.41003272394	7.4550750349	7.43684678615	7.54735208244	7.56288425489	7.37135330682	7.9185264731	24.7833481158	25.5849507892	24.6938543475	24.7365971057	24.520683548	25.0384638092	24.5854192029	25.084007572	
2017/05/23	10:12:40	7.56138110143	7.41142961878	7.45406786126	7.43574776378	7.54547236578	7.5621793997	7.37174058488	7.91876855822	24.7834530939	25.5849841913	24.6941239502	24.7368762518	24.5207909119	25.0386928522	24.5858247998	25.0843296637
