data	hora	D32	D33	D34	D35	D36	D37	D38	D39	T32	T33	T34	T35	T36	T37	T38	T39
2017/08/08	00:00:01	5.12732974211	5.27562425751	5.18496413922	5.12447402779	5.05137547093	5.08289955626	5.20587558235	5.48246069855	22.9259694922	22.8255126776	22.9959468909	23.0126980438	23.0304703467	22.8960626837	22.8815733301	22.974008869	
2017/08/08	00:00:03	5.12733997087	5.27555581171	5.18502926501	5.12439366876	5.05122555538	5.08282692825	5.205805818	5.48226947125	22.9259647205	22.8255961829	22.9956152557	23.0127839349	23.0305777106	22.8958909015	22.8815876453	22.9742092816	
2017/08/08	00:00:05	5.12728107291	5.27555925549	5.1849711149	5.12442010112	5.05119605819	5.08278249933	5.20580748348	5.48232161782	22.9259838074	22.8252502325	22.9961162872	23.0125882941	23.0305371509	22.8958002386	22.8812798688	22.9740255701	
2017/08/08	00:00:07	5.12737642656	5.27540519133	5.18496850723	5.12436476355	5.05118371228	5.08291149553	5.20579218184	5.48234922524	22.9255710529	22.8258299976	22.9959993799	23.0125143323	23.030675531	22.8961652759	22.8817689709	22.9743691345	
2017/08/08	00:00:09	5.12728045668	5.27548005172	5.18514581916	5.12438771549	5.05108860822	5.08289436469	5.20583402925	5.48227287058	22.925955177	22.8258848724	22.9960566406	23.0128674402	23.0304965912	22.8960769989	22.8817307971	22.974149635	
2017/08/08	00:00:12	5.12716199132	5.27545209959	5.18505167923	5.12419380569	5.05117594025	5.08286067314	5.20587511267	5.4822879043	22.9258263403	22.8258586279	22.9955078918	23.0124117401	23.0301029236	22.8957954669	22.8815017542	22.9740303418	
2017/08/08	00:00:14	5.12721359172	5.2756541611	5.18506078764	5.12433474107	5.05120951417	5.08292019933	5.2059821216	5.48241994803	22.9258692859	22.8256773022	22.9957130762	23.0124546857	23.030534765	22.8959911078	22.8816472919	22.9738179999	
2017/08/08	00:00:16	5.12723079314	5.27550095267	5.1850879544	5.12434954587	5.05128325625	5.08295694522	5.20590858708	5.48236902461	22.9260744702	22.8259230463	22.995610484	23.012361637	23.0303796838	22.8960316675	22.8816568353	22.9741544067	
2017/08/08	00:00:18	5.12730241181	5.27552434215	5.18509943577	5.1242998809	5.05115085764	5.08290791226	5.20578192428	5.48223652911	22.9260768561	22.8257107043	22.9954721039	23.0126216962	23.0301076953	22.8957501355	22.8813538306	22.9736462177	
2017/08/08	00:00:20	5.12722933402	5.27551255671	5.18514899992	5.12426279973	5.05109080245	5.08300882602	5.20572934672	5.48235249472	22.9262677252	22.8260542688	22.9955794678	23.0126574841	23.0301530267	22.8956212988	22.8815232269	22.9741019177	
2017/08/08	00:00:22	5.12729913566	5.27548006691	5.18504669278	5.12431229827	5.05113049392	5.08278883194	5.20581497333	5.48232535736	22.9261245734	22.8258490845	22.9953957562	23.0121755396	23.0302770917	22.8957859235	22.8814898248	22.9741734937	
2017/08/08	00:00:24	5.12727898657	5.27550099761	5.18511068073	5.12421806794	5.05114377214	5.0828269288	5.20573198845	5.48237926737	22.9259217749	22.825698775	22.9952335175	23.0125358051	23.0302675482	22.8953994135	22.88150414	22.9738084564	
2017/08/08	00:00:26	5.12726286215	5.27545951021	5.18499792909	5.12427220841	5.05110924814	5.08282718763	5.20584844396	5.48241453497	22.926112644	22.8259707635	22.9953742834	23.0125954517	23.0304798901	22.8960197382	22.8817665851	22.9743166455	
2017/08/08	00:00:28	5.12719998472	5.27551745542	5.18511823035	5.12424873927	5.05104848473	5.08286345857	5.20591632857	5.48222794145	22.9262868121	22.8258562421	22.9957727228	23.0122662024	23.0304393304	22.8958765863	22.8815804877	22.9740899884	
2017/08/08	00:00:30	5.12720044107	5.27557034655	5.18515080836	5.12426988746	5.0511220283	5.08285752101	5.20583634847	5.48225783658	22.9262844263	22.8257846661	22.9954220007	23.0122542731	23.0301506409	22.8959553198	22.8814254065	22.9738824182	
2017/08/08	00:00:32	5.12722325981	5.27557150758	5.18510852201	5.12432659562	5.05115973953	5.08293993264	5.2057548846	5.48238494296	22.926446665	22.8260805133	22.9958108966	23.0125000171	23.0304059283	22.8961819769	22.8818262317	22.9741305481	
2017/08/08	00:00:34	5.12713012463	5.2755234757	5.18504104207	5.12426237415	5.05114769145	5.08292966157	5.205806384	5.48236869551	22.926236709	22.8257154761	22.9957226196	23.0125453485	23.0304703467	22.8957024182	22.8815828735	22.9739182062	
2017/08/08	00:00:36	5.12718102847	5.27551595745	5.18510472098	5.12425245506	5.05120903129	5.082864512	5.20591775909	5.48234940629	22.9269524683	22.8259516766	22.9956080981	23.0121445233	23.0302150592	22.8957859235	22.8814802814	22.9738251575	
