data	hora	H7DC_51_D	H7DC_49_D	H7DC_35_D	H7DC_34_D	H7DC_48_D	H7DC_50_D	H7DC_41_D	H7DC_54_D	H7DC_51_T	H7DC_49_T	H7DC_35_T	H7DC_34_T	H7DC_48_T	H7DC_50_T	H7DC_41_T	H7DC_54_T
2017/08/18	14:55:39	7.38693528731	7.55255094891	7.59801225412	7.47339606366	7.50639563405	7.5436037531	7.71094383558	7.97747318086	21.2015383826	21.030987262	21.0987815948	21.2033086938	21.272434339	21.1323006018	21.1418273578	21.1637128906	
2017/08/18	14:55:42	7.38729659549	7.55286775512	7.59837779044	7.47441241646	7.50690411252	7.54351734926	7.71094907314	7.97799007512	21.2143719464	21.0423845355	21.1084729755	21.2183730408	21.2767861554	21.1439865649	21.1500037146	21.1763412701	
2017/08/18	14:55:44	7.3872779122	7.55276234582	7.59807457982	7.47451444654	7.50653910599	7.54315101318	7.71031559129	7.97779377797	21.2216416748	21.0466051294	21.113244704	21.2273796783	21.2778741095	21.1506717566	21.1537519073	21.1837112048	
2017/08/18	14:55:46	7.38682825131	7.55266497525	7.5970843466	7.47406549272	7.50586127902	7.54232035726	7.70920723171	7.97719257746	21.2252562592	21.0490506403	21.1154874164	21.2316718481	21.278391842	21.1558013647	21.1557393323	21.1876431091	
2017/08/18	14:55:48	7.38608412357	7.5520504044	7.59585261415	7.47345718492	7.50484572037	7.54155192903	7.70809646846	7.97671580288	21.2275132867	21.0508782123	21.1183289807	21.2359043713	21.2782940216	21.1594803674	21.1571994812	21.1915678558	
2017/08/18	14:55:50	7.38531920503	7.55126479892	7.59460007208	7.47274763703	7.50396219391	7.54030208907	7.70683467834	7.97575025946	21.2284724042	21.0516226019	21.1199919281	21.2384381592	21.2783417389	21.1622193396	21.1577386865	21.1934073572	
2017/08/18	14:55:52	7.38427054639	7.55046047141	7.59340452287	7.4719912192	7.50296281662	7.53944765596	7.70560784776	7.97521625767	21.2285320508	21.0522572418	21.1209224152	21.2398076453	21.2778812671	21.1640111237	21.1582707343	21.194991571	
2017/08/18	14:55:59	7.38147476284	7.54775899475	7.5890477014	7.46901241085	7.49932838273	7.53567359068	7.70060248474	7.97214846369	21.2282028015	21.0529181262	21.1217288373	21.2418427875	21.2772442413	21.1686420862	21.1578794525	21.1970290991	
2017/08/18	14:56:00	7.38045038147	7.54680390399	7.58777511293	7.46815609544	7.49832313047	7.53443306154	7.69901071293	7.97140579138	21.2279761444	21.0531209247	21.1213900446	21.2422603137	21.2765499548	21.1692862695	21.1577553876	21.1969026483	
2017/08/18	14:56:02	7.37958306159	7.54595269141	7.58662957919	7.46736735423	7.49728655824	7.53358943956	7.6978389093	7.9708197873	21.227298559	21.0530875226	21.1207744916	21.2427899756	21.2758413531	21.169928067	21.1571279053	21.1969193494	
2017/08/18	14:56:04	7.37870830739	7.54502176001	7.58520991031	7.46659760468	7.49610959335	7.53242013496	7.69648133111	7.96929786485	21.2269836249	21.0526699963	21.1201708679	21.2424320959	21.275421441	21.1700926917	21.1567294659	21.196644975	
2017/08/18	14:56:07	7.3774088548	7.54433845591	7.584143542	7.46576609339	7.49512027451	7.53135753179	7.69506530778	7.96857882338	21.2270456573	21.0521474921	21.1195767877	21.2426682965	21.2746030896	21.1699495398	21.1565362109	21.1965829425	
2017/08/18	14:56:09	7.37648539409	7.54317970536	7.58286255769	7.46464916553	7.49394714174	7.53014187212	7.69375447781	7.96742687212	21.2259481598	21.0522787146	21.1188061536	21.2424631122	21.2738133685	21.1703575226	21.1560208643	21.195976933	
2017/08/18	14:56:11	7.37556064923	7.54220487072	7.58165265919	7.46368903375	7.49284138085	7.52910180324	7.69251401242	7.96453994014	21.2253159058	21.0520138837	21.1178780524	21.2421171619	21.2733958423	21.1702239142	21.1555222186	21.1950082721	
2017/08/18	14:56:13	7.37479348398	7.54203328863	7.58060503328	7.46316536136	7.49215670682	7.52851219432	7.69174719516	7.96400145845	21.2247528418	21.0517896124	21.1168759894	21.2418213147	21.2730594354	21.1701356372	21.1552478442	21.1947028815	
2017/08/18	14:56:15	7.3743094129	7.54122920892	7.57929414971	7.4620675594	7.49120225065	7.52753266696	7.69078521123	7.96373616879	21.2238987024	21.0513148254	21.1160934259	21.2416423749	21.2722553992	21.1696894806	21.1547611279	21.1940324536	
2017/08/18	14:56:17	7.37353945515	7.54023215253	7.57766269601	7.46145015134	7.49007248532	7.52678933491	7.68967598296	7.96251032223	21.2238223547	21.0508782123	21.1157999646	21.2415636414	21.2719929541	21.1697443555	21.1542219226	21.1934837048	
2017/08/18	14:56:19	7.37252450275	7.5392808054	7.57547092177	7.46072772749	7.48937573275	7.52595071241	7.68857773995	7.96205782642	21.2228393787	21.0505203326	21.1151176074	21.241165202	21.2709002283	21.1697014099	21.1540453687	21.1929468854	
2017/08/18	14:56:21	7.37183930342	7.53864707392	7.57352591168	7.46016502675	7.48844607154	7.52522200502	7.68767111285	7.9613220037	21.2221546356	21.0500193011	21.1145736304	21.2409814905	21.2702966046	21.16868026	21.1532818921	21.1925007288	
2017/08/18	14:56:23	7.37082296975	7.5380945703	7.57257541033	7.45816253966	7.48781998742	7.52457116626	7.68670192191	7.95967486488	21.2221713367	21.0501242792	21.1139723926	21.2406331543	21.2701224365	21.1690810852	21.1527092847	21.1920736591	
